jMRUI Data Textfile

Filename: Ac.txt

PointsInDataset: 32768     
DatasetsInFile: 1         
SamplingInterval: 3.3333E-2 
ZeroOrderPhase: 0E0       
BeginTime: 0E0       
TransmitterFrequency: 2.9722E8  
MagneticField: 0E0       
TypeOfNucleus: 0E0       
NameOfPatient: 
DateOfExperiment: 
Spectrometer: 
AdditionalInfo: 


Signal and FFT
sig(real)	sig(imag)	fft(real)	fft(imag)
Signal 1 out of 1 in file
3E0	-1.3113E-7	2.8995E-4	1.3064E-1
2.9539E0	-5.1938E-1	2.9061E-4	1.3079E-1
2.8186E0	-1.0228E0	2.9154E-4	1.3093E-1
2.5982E0	-1.495E0	2.9152E-4	1.3108E-1
2.2994E0	-1.9219E0	2.9177E-4	1.3122E-1
1.9313E0	-2.2904E0	2.9266E-4	1.3137E-1
1.5051E0	-2.5896E0	2.9108E-4	1.3151E-1
1.0337E0	-2.8103E0	2.8938E-4	1.3165E-1
5.3122E-1	-2.9461E0	2.8906E-4	1.318E-1
1.3009E-2	-2.9928E0	2.8858E-4	1.3195E-1
-5.0532E-1	-2.949E0	2.8813E-4	1.3209E-1
-1.0081E0	-2.8162E0	2.8946E-4	1.3224E-1
-1.4802E0	-2.5984E0	2.9079E-4	1.3238E-1
-1.9073E0	-2.3022E0	2.9057E-4	1.3253E-1
-2.2765E0	-1.9366E0	2.8989E-4	1.3267E-1
-2.5768E0	-1.5127E0	2.9004E-4	1.3282E-1
-2.7991E0	-1.0434E0	2.8981E-4	1.3296E-1
-2.9367E0	-5.4272E-1	2.8986E-4	1.3311E-1
-2.9855E0	-2.5956E-2	2.8918E-4	1.3325E-1
-2.9441E0	4.9132E-1	2.8861E-4	1.334E-1
-2.8138E0	9.9347E-1	2.8895E-4	1.3354E-1
-2.5986E0	1.4653E0	2.8954E-4	1.3369E-1
-2.3049E0	1.8927E0	2.8976E-4	1.3383E-1
-1.9418E0	2.2627E0	2.8971E-4	1.3398E-1
-1.5203E0	2.5641E0	2.8868E-4	1.3412E-1
-1.053E0	2.7878E0	2.8807E-4	1.3427E-1
-5.5415E-1	2.9273E0	2.8761E-4	1.3441E-1
-3.884E-2	2.9782E0	2.8789E-4	1.3456E-1
4.7737E-1	2.9392E0	2.8875E-4	1.3471E-1
9.7888E-1	2.8113E0	2.8978E-4	1.3485E-1
1.4505E0	2.5987E0	2.9043E-4	1.35E-1
1.8781E0	2.3076E0	2.919E-4	1.3514E-1
2.2488E0	1.947E0	2.9257E-4	1.3528E-1
2.5513E0	1.5277E0	2.9214E-4	1.3543E-1
2.7766E0	1.0625E0	2.9142E-4	1.3557E-1
2.9178E0	5.6551E-1	2.9021E-4	1.3572E-1
2.9709E0	5.1662E-2	2.9117E-4	1.3587E-1
2.9342E0	-4.6347E-1	2.9349E-4	1.3601E-1
2.8088E0	-9.6433E-1	2.9504E-4	1.3616E-1
2.5987E0	-1.4358E0	2.9509E-4	1.363E-1
2.3102E0	-1.8636E0	2.9494E-4	1.3644E-1
1.952E0	-2.2349E0	2.9551E-4	1.3659E-1
1.5351E0	-2.5385E0	2.9624E-4	1.3673E-1
1.072E0	-2.7653E0	2.9629E-4	1.3688E-1
5.768E-1	-2.9084E0	2.9553E-4	1.3702E-1
6.4421E-2	-2.9635E0	2.955E-4	1.3717E-1
-4.4963E-1	-2.9291E0	2.9566E-4	1.3731E-1
-9.4983E-1	-2.8062E0	2.9653E-4	1.3746E-1
-1.4211E0	-2.5987E0	2.9683E-4	1.376E-1
