jMRUI Data Textfile

Filename: Cyn.txt

PointsInDataset: 32768     
DatasetsInFile: 1         
SamplingInterval: 3.3333E-2 
ZeroOrderPhase: 0E0       
BeginTime: 0E0       
TransmitterFrequency: 2.9722E8  
MagneticField: 6.9809E0  
TypeOfNucleus: 0E0       
NameOfPatient: 
DateOfExperiment: 
Spectrometer: 
AdditionalInfo: 
SignalNames: Cystathionine;


Signal and FFT
sig(real)	sig(imag)	fft(real)	fft(imag)
Signal 1 out of 1 in file
2.113E1	-3.4114E-6	4.6593E-3	5.6864E-1
2.0987E1	-2.2677E0	4.6702E-3	5.6966E-1
2.0569E1	-4.4981E0	4.6738E-3	5.7066E-1
1.9886E1	-6.6555E0	4.6743E-3	5.7168E-1
1.8948E1	-8.7058E0	4.6748E-3	5.7269E-1
1.7772E1	-1.0617E1	4.674E-3	5.737E-1
1.6381E1	-1.236E1	4.6704E-3	5.7471E-1
1.48E1	-1.3908E1	4.6611E-3	5.7573E-1
1.3055E1	-1.5239E1	4.6538E-3	5.7675E-1
1.1179E1	-1.6336E1	4.6507E-3	5.7777E-1
9.2046E0	-1.7184E1	4.6567E-3	5.7879E-1
7.1655E0	-1.7776E1	4.6489E-3	5.7981E-1
5.0969E0	-1.8107E1	4.6554E-3	5.8084E-1
3.0338E0	-1.8178E1	4.6638E-3	5.8186E-1
1.0102E0	-1.7995E1	4.673E-3	5.8287E-1
-9.4115E-1	-1.7568E1	4.6728E-3	5.8388E-1
-2.7895E0	-1.6913E1	4.675E-3	5.849E-1
-4.5068E0	-1.6047E1	4.6831E-3	5.8591E-1
-6.0683E0	-1.4994E1	4.6828E-3	5.8692E-1
-7.4525E0	-1.3778E1	4.6787E-3	5.8793E-1
-8.6423E0	-1.2427E1	4.6723E-3	5.8894E-1
-9.6244E0	-1.0971E1	4.663E-3	5.8996E-1
-1.039E1	-9.4395E0	4.6586E-3	5.9098E-1
-1.0935E1	-7.8646E0	4.6549E-3	5.9199E-1
-1.1261E1	-6.277E0	4.6485E-3	5.9301E-1
-1.137E1	-4.707E0	4.6468E-3	5.9404E-1
-1.1272E1	-3.1833E0	4.6473E-3	5.9506E-1
-1.098E1	-1.7329E0	4.6485E-3	5.9609E-1
-1.051E1	-3.802E-1	4.6608E-3	5.9711E-1
-9.8809E0	8.5343E-1	4.6708E-3	5.9812E-1
-9.114E0	1.9498E0	4.676E-3	5.9913E-1
-8.2332E0	2.8943E0	4.6747E-3	6.0014E-1
-7.2636E0	3.6761E0	4.6633E-3	6.0116E-1
-6.2309E0	4.2884E0	4.6627E-3	6.0218E-1
-5.1613E0	4.7281E0	4.6705E-3	6.032E-1
-4.0806E0	4.9963E0	4.6726E-3	6.0421E-1
-3.0136E0	5.0974E0	4.6651E-3	6.0522E-1
-1.9837E0	5.0395E0	4.6594E-3	6.0624E-1
-1.0124E0	4.8339E0	4.6596E-3	6.0726E-1
-1.1894E-1	4.4947E0	4.6619E-3	6.0828E-1
6.8027E-1	4.0381E0	4.6589E-3	6.0929E-1
1.3717E0	3.4825E0	4.656E-3	6.1032E-1
1.9449E0	2.8475E0	4.6618E-3	6.1134E-1
2.393E0	2.1537E0	4.6586E-3	6.1235E-1
2.712E0	1.4221E0	4.6582E-3	6.1337E-1
2.9015E0	6.7322E-1	4.6649E-3	6.1439E-1
2.9642E0	-7.2676E-2	4.6708E-3	6.1541E-1
2.9056E0	-7.9669E-1	4.6671E-3	6.1642E-1
2.7341E0	-1.4814E0	4.6675E-3	6.1744E-1
2.4602E0	-2.1113E0	4.6738E-3	6.1846E-1
2.0967E0	-2.673E0	4.6751E-3	6.1947E-1
1.6578E0	-3.1558E0	4.6759E-3	6.2048E-1
1.1588E0	-3.5515E0	4.6612E-3	6.2149E-1
6.1586E-1	-3.8545E0	4.6556E-3	6.2252E-1
4.5195E-2	-4.0622E0	4.6563E-3	6.2354E-1
-5.3706E-1	-4.1744E0	4.6635E-3	6.2456E-1
-1.1154E0	-4.1938E0	4.667E-3	6.2558E-1
-1.6755E0	-4.1252E0	4.6691E-3	6.266E-1
-2.2043E0	-3.9758E0	4.6771E-3	6.2762E-1
-2.6903E0	-3.7544E0	4.6771E-3	6.2863E-1
-3.1242E0	-3.4715E0	4.6727E-3	6.2964E-1
-3.4987E0	-3.1387E0	4.6772E-3	6.3066E-1
-3.8087E0	-2.7683E0	4.6786E-3	6.3167E-1
-4.0516E0	-2.373E0	4.6777E-3	6.3269E-1
-4.2268E0	-1.9654E0	4.6813E-3	6.3371E-1
