jMRUI Data Textfile

Filename: PCr2.txt

PointsInDataset: 32768     
DatasetsInFile: 1         
SamplingInterval: 3.3333E-2 
ZeroOrderPhase: 0E0       
BeginTime: 0E0       
TransmitterFrequency: 2.9722E8  
MagneticField: 0E0       
TypeOfNucleus: 0E0       
NameOfPatient: 
DateOfExperiment: 
Spectrometer: 
AdditionalInfo: 


Signal and FFT
sig(real)	sig(imag)	fft(real)	fft(imag)
Signal 1 out of 1 in file
4E0	-1.7485E-7	1.5276E-4	-4.5712E-2
3.9768E0	1.8185E-1	1.5113E-4	-4.5519E-2
3.9097E0	3.5802E-1	1.5093E-4	-4.5326E-2
3.8E0	5.231E-1	1.5072E-4	-4.5133E-2
3.65E0	6.7192E-1	1.5046E-4	-4.494E-2
3.4626E0	7.9967E-1	1.513E-4	-4.4747E-2
3.2415E0	9.0209E-1	1.5179E-4	-4.4555E-2
2.9909E0	9.7547E-1	1.5136E-4	-4.4363E-2
2.7158E0	1.0168E0	1.5087E-4	-4.417E-2
2.4213E0	1.0238E0	1.507E-4	-4.3977E-2
2.1131E0	9.9507E-1	1.5163E-4	-4.3784E-2
1.7968E0	9.2992E-1	1.5224E-4	-4.3592E-2
1.4783E0	8.2857E-1	1.5287E-4	-4.3399E-2
1.1631E0	6.9208E-1	1.5411E-4	-4.3208E-2
8.5693E-1	5.2231E-1	1.5405E-4	-4.3017E-2
5.6478E-1	3.2187E-1	1.5261E-4	-4.2825E-2
2.9142E-1	9.4094E-2	1.5227E-4	-4.2632E-2
4.1001E-2	-1.5709E-1	1.5263E-4	-4.2439E-2
-1.8292E-1	-4.2723E-1	1.53E-4	-4.2247E-2
-3.775E-1	-7.1144E-1	1.5335E-4	-4.2055E-2
-5.4064E-1	-1.0045E0	1.5347E-4	-4.1862E-2
-6.7102E-1	-1.3012E0	1.5427E-4	-4.167E-2
-7.6813E-1	-1.5959E0	1.5489E-4	-4.1479E-2
-8.3222E-1	-1.8834E0	1.5487E-4	-4.1288E-2
-8.6436E-1	-2.1585E0	1.537E-4	-4.1096E-2
-8.6631E-1	-2.4164E0	1.5298E-4	-4.0904E-2
-8.4051E-1	-2.6524E0	1.5215E-4	-4.0711E-2
-7.9001E-1	-2.8628E0	1.5235E-4	-4.0518E-2
-7.1833E-1	-3.0441E0	1.5298E-4	-4.0326E-2
-6.2944E-1	-3.1936E0	1.5306E-4	-4.0134E-2
-5.276E-1	-3.3093E0	1.5231E-4	-3.9943E-2
