jMRUI Data Textfile

Filename: Ala.txt

PointsInDataset: 32768     
DatasetsInFile: 1         
SamplingInterval: 3.3333E-2 
ZeroOrderPhase: 0E0       
BeginTime: 0E0       
TransmitterFrequency: 2.9722E8  
MagneticField: 0E0       
TypeOfNucleus: -1E0      
NameOfPatient: 
DateOfExperiment: 
Spectrometer: 
AdditionalInfo: 


Signal and FFT
sig(real)	sig(imag)	fft(real)	fft(imag)
Signal 1 out of 1 in file
4E0	-1.7485E-7	1.707E-4	-1.2772E-1
3.959E0	5.062E-1	1.7149E-4	-1.2752E-1
3.8397E0	9.9707E-1	1.7245E-4	-1.2733E-1
3.6469E0	1.4583E0	1.7307E-4	-1.2714E-1
3.3884E0	1.8769E0	1.7402E-4	-1.2695E-1
3.0744E0	2.2421E0	1.7428E-4	-1.2676E-1
2.717E0	2.5455E0	1.7385E-4	-1.2656E-1
2.3296E0	2.7815E0	1.7348E-4	-1.2637E-1
1.9265E0	2.9479E0	1.7306E-4	-1.2618E-1
1.5218E0	3.0453E0	1.7225E-4	-1.2598E-1
1.1286E0	3.0776E0	1.7277E-4	-1.2579E-1
7.5889E-1	3.0511E0	1.7357E-4	-1.256E-1
4.2251E-1	2.9746E0	1.7533E-4	-1.2541E-1
1.2686E-1	2.8587E0	1.7604E-4	-1.2521E-1
-1.2342E-1	2.715E0	1.7591E-4	-1.2502E-1
-3.2662E-1	2.5557E0	1.7568E-4	-1.2483E-1
-4.8393E-1	2.3924E0	1.7379E-4	-1.2464E-1
-5.993E-1	2.2362E0	1.7087E-4	-1.2445E-1
-6.7911E-1	2.0964E0	1.7029E-4	-1.2425E-1
-7.3167E-1	1.9803E0	1.7121E-4	-1.2406E-1
-7.6674E-1	1.8927E0	1.7339E-4	-1.2386E-1
-7.9479E-1	1.8358E0	1.743E-4	-1.2367E-1
-8.264E-1	1.8087E0	1.7473E-4	-1.2348E-1
-8.7155E-1	1.8082E0	1.7476E-4	-1.2329E-1
-9.3895E-1	1.8283E0	1.7286E-4	-1.231E-1
-1.0355E0	1.8609E0	1.7104E-4	-1.2291E-1
-1.1658E0	1.8964E0	1.7062E-4	-1.2271E-1
-1.3319E0	1.9241E0	1.7035E-4	-1.2252E-1
-1.533E0	1.9329E0	1.7186E-4	-1.2232E-1
-1.7654E0	1.9122E0	1.739E-4	-1.2213E-1
-2.0229E0	1.8521E0	1.7459E-4	-1.2194E-1
-2.2966E0	1.7447E0	1.7353E-4	-1.2175E-1
-2.576E0	1.5838E0	1.7159E-4	-1.2156E-1
-2.849E0	1.3663E0	1.7219E-4	-1.2136E-1
-3.1026E0	1.0916E0	1.7303E-4	-1.2117E-1
-3.3241E0	7.6223E-1	1.7197E-4	-1.2098E-1
-3.5011E0	3.837E-1	1.7231E-4	-1.2078E-1
-3.6226E0	-3.5744E-2	1.743E-4	-1.2059E-1
-3.6796E0	-4.8542E-1	1.7528E-4	-1.204E-1
-3.6653E0	-9.5272E-1	1.7482E-4	-1.2021E-1
-3.576E0	-1.4237E0	1.7339E-4	-1.2002E-1
-3.411E0	-1.8838E0	1.7316E-4	-1.1982E-1
-3.1726E0	-2.3183E0	1.7256E-4	-1.1963E-1
-2.8663E0	-2.7136E0	1.7166E-4	-1.1944E-1
-2.5006E0	-3.0571E0	1.7215E-4	-1.1924E-1
-2.0862E0	-3.3385E0	1.7366E-4	-1.1905E-1
-1.6357E0	-3.5501E0	1.7419E-4	-1.1886E-1
-1.1634E0	-3.6868E0	1.7408E-4	-1.1867E-1
-6.839E-1	-3.7468E0	1.7382E-4	-1.1848E-1
-2.1176E-1	-3.7314E0	1.7363E-4	-1.1828E-1
2.3913E-1	-3.6452E0	1.7209E-4	-1.1809E-1
6.5639E-1	-3.4951E0	1.7085E-4	-1.179E-1
1.0296E0	-3.2907E0	1.7063E-4	-1.177E-1
1.351E0	-3.0434E0	1.7081E-4	-1.1751E-1
1.6154E0	-2.7657E0	1.7119E-4	-1.1732E-1
1.8206E0	-2.4708E0	1.716E-4	-1.1713E-1
1.9677E0	-2.1714E0	1.7206E-4	-1.1693E-1
2.0602E0	-1.8796E0	1.7254E-4	-1.1674E-1
2.1046E0	-1.6061E0	1.7173E-4	-1.1655E-1
2.1091E0	-1.3593E0	1.7041E-4	-1.1636E-1
2.0836E0	-1.1454E0	1.6929E-4	-1.1616E-1
2.039E0	-9.6771E-1	1.6896E-4	-1.1597E-1
1.9864E0	-8.2693E-1	1.7097E-4	-1.1577E-1
1.9363E0	-7.2087E-1	1.727E-4	-1.1558E-1
1.8983E0	-6.4478E-1	1.7349E-4	-1.1539E-1
1.8803E0	-5.9173E-1	1.7263E-4	-1.152E-1
1.8881E0	-5.5302E-1	1.7102E-4	-1.1501E-1
1.9248E0	-5.188E-1	1.7047E-4	-1.1481E-1
1.9911E0	-4.7869E-1	1.7077E-4	-1.1462E-1
2.0847E0	-4.2246E-1	1.7124E-4	-1.1443E-1
2.2007E0	-3.4072E-1	1.7199E-4	-1.1424E-1
2.332E0	-2.2548E-1	1.7252E-4	-1.1404E-1
2.4694E0	-7.0752E-2	1.7346E-4	-1.1385E-1
2.6021E0	1.2705E-1	1.7314E-4	-1.1366E-1
2.7189E0	3.6881E-1	1.7155E-4	-1.1347E-1
2.808E0	6.5255E-1	1.7128E-4	-1.1327E-1
2.8583E0	9.7349E-1	1.7171E-4	-1.1308E-1
2.8599E0	1.3242E0	1.7202E-4	-1.1289E-1
2.8047E0	1.6948E0	1.7168E-4	-1.127E-1
2.6869E0	2.0737E0	1.7068E-4	-1.125E-1
2.5031E0	2.448E0	1.7116E-4	-1.1231E-1
2.2534E0	2.804E0	1.7237E-4	-1.1212E-1
1.9404E0	3.1282E0	1.7243E-4	-1.1193E-1
1.57E0	3.4078E0	1.7256E-4	-1.1173E-1
1.1508E0	3.6313E0	1.7285E-4	-1.1154E-1
6.9366E-1	3.7892E0	1.7326E-4	-1.1135E-1
2.1141E-1	3.8747E0	1.7316E-4	-1.1116E-1
-2.8187E-1	3.8836E0	1.7228E-4	-1.1096E-1
-7.715E-1	3.815E0	1.7243E-4	-1.1077E-1
-1.2429E0	3.6708E0	1.7371E-4	-1.1058E-1
-1.6823E0	3.4564E0	1.7323E-4	-1.1039E-1
-2.0774E0	3.1795E0	1.728E-4	-1.1019E-1
-2.418E0	2.8505E0	1.73E-4	-1.1E-1
-2.6961E0	2.4814E0	1.7336E-4	-1.0981E-1
-2.9069E0	2.0856E0	1.7317E-4	-1.0962E-1
-3.0485E0	1.6771E0	1.7239E-4	-1.0942E-1
-3.1219E0	1.2694E0	1.7241E-4	-1.0923E-1
-3.1313E0	8.7566E-1	1.7282E-4	-1.0904E-1
-3.0831E0	5.0718E-1	1.7175E-4	-1.0885E-1
-2.9864E0	1.7344E-1	1.7173E-4	-1.0865E-1
-2.8516E0	-1.1853E-1	1.7201E-4	-1.0846E-1
-2.6901E0	-3.6443E-1	1.7166E-4	-1.0827E-1
-2.514E0	-5.6281E-1	1.711E-4	-1.0808E-1
-2.3347E0	-7.1506E-1	1.7089E-4	-1.0788E-1
-2.1629E0	-8.252E-1	1.7124E-4	-1.0769E-1
-2.0077E0	-8.996E-1	1.7165E-4	-1.075E-1
-1.876E0	-9.4648E-1	1.7216E-4	-1.073E-1
-1.7726E0	-9.7537E-1	1.7341E-4	-1.0711E-1
-1.6993E0	-9.9652E-1	1.7344E-4	-1.0692E-1
-1.6554E0	-1.0202E0	1.7221E-4	-1.0673E-1
-1.6375E0	-1.0559E0	1.7147E-4	-1.0654E-1
-1.6398E0	-1.1122E0	1.7122E-4	-1.0634E-1
-1.6546E0	-1.1956E0	1.7204E-4	-1.0615E-1
-1.6725E0	-1.3103E0	1.732E-4	-1.0596E-1
-1.6832E0	-1.4583E0	1.7337E-4	-1.0577E-1
-1.6762E0	-1.6386E0	1.7392E-4	-1.0557E-1
-1.6413E0	-1.8476E0	1.7445E-4	-1.0538E-1
-1.5693E0	-2.0791E0	1.7422E-4	-1.0519E-1
-1.4526E0	-2.3246E0	1.7344E-4	-1.05E-1
-1.2859E0	-2.5738E0	1.7201E-4	-1.0481E-1
-1.0661E0	-2.8152E0	1.7104E-4	-1.0461E-1
-7.9312E-1	-3.0364E0	1.707E-4	-1.0442E-1
-4.6972E-1	-3.2253E0	1.7076E-4	-1.0422E-1
-1.0145E-1	-3.3702E0	1.7227E-4	-1.0403E-1
3.0346E-1	-3.4608E0	1.7402E-4	-1.0384E-1
7.3456E-1	-3.4887E0	1.7466E-4	-1.0365E-1
1.1796E0	-3.448E0	1.7444E-4	-1.0346E-1
1.625E0	-3.3355E0	1.7288E-4	-1.0327E-1
2.0567E0	-3.1508E0	1.7109E-4	-1.0307E-1
2.4609E0	-2.8967E0	1.7046E-4	-1.0288E-1
2.8244E0	-2.579E0	1.7128E-4	-1.0268E-1
3.1355E0	-2.2062E0	1.724E-4	-1.0249E-1
3.3846E0	-1.7889E0	1.7361E-4	-1.023E-1
3.5645E0	-1.3397E0	1.7428E-4	-1.0211E-1
3.6709E0	-8.7243E-1	1.7467E-4	-1.0192E-1
3.7025E0	-4.0126E-1	1.7404E-4	-1.0172E-1
3.6611E0	5.9661E-2	1.7326E-4	-1.0153E-1
3.5512E0	4.9704E-1	1.7308E-4	-1.0134E-1
3.3802E0	8.9905E-1	1.7352E-4	-1.0115E-1
3.1576E0	1.2559E0	1.7383E-4	-1.0095E-1
2.8947E0	1.5602E0	1.74E-4	-1.0076E-1
2.6039E0	1.8073E0	1.7344E-4	-1.0057E-1
2.2979E0	1.9956E0	1.7361E-4	-1.0038E-1
1.9893E0	2.1261E0	1.7436E-4	-1.0018E-1
1.6897E0	2.2027E0	1.7341E-4	-9.9993E-2
1.4094E0	2.2319E0	1.7344E-4	-9.9799E-2
1.1563E0	2.2218E0	1.7469E-4	-9.9606E-2
9.3645E-1	2.1822E0	1.7589E-4	-9.9415E-2
7.5291E-1	2.1238E0	1.7608E-4	-9.9224E-2
6.0615E-1	2.0571E0	1.7446E-4	-9.9032E-2
4.9397E-1	1.9926E0	1.7353E-4	-9.8839E-2
4.1169E-1	1.9394E0	1.7401E-4	-9.8647E-2
3.5255E-1	1.9051E0	1.7308E-4	-9.8454E-2
3.0813E-1	1.8951E0	1.7324E-4	-9.8261E-2
2.6896E-1	1.9125E0	1.7365E-4	-9.8068E-2
2.251E-1	1.9577E0	1.7417E-4	-9.7875E-2
1.668E-1	2.0285E0	1.7514E-4	-9.7683E-2
8.5163E-2	2.1203E0	1.7489E-4	-9.7491E-2
-2.7318E-2	2.2259E0	1.7485E-4	-9.7299E-2
-1.762E-1	2.3367E0	1.756E-4	-9.7106E-2
-3.6473E-1	2.4425E0	1.7609E-4	-9.6915E-2
-5.9352E-1	2.5325E0	1.7544E-4	-9.6724E-2
-8.6049E-1	2.5956E0	1.7403E-4	-9.6532E-2
-1.1609E0	2.6214E0	1.7276E-4	-9.6338E-2
-1.4873E0	2.6008E0	1.7314E-4	-9.6144E-2
-1.8304E0	2.5262E0	1.7373E-4	-9.5951E-2
-2.1789E0	2.3924E0	1.7494E-4	-9.5758E-2
-2.5204E0	2.1967E0	1.7672E-4	-9.5566E-2
-2.842E0	1.9394E0	1.7794E-4	-9.5376E-2
-3.1308E0	1.6235E0	1.7696E-4	-9.5185E-2
-3.3749E0	1.255E0	1.7535E-4	-9.4993E-2
-3.5636E0	8.4245E-1	1.7466E-4	-9.48E-2
-3.6882E0	3.9647E-1	1.7516E-4	-9.4608E-2
-3.7424E0	-7.0438E-2	1.7435E-4	-9.4416E-2
-3.7229E0	-5.4467E-1	1.7412E-4	-9.4222E-2
-3.6291E0	-1.0121E0	1.7507E-4	-9.403E-2
-3.4635E0	-1.4589E0	1.7485E-4	-9.3838E-2
-3.2314E0	-1.8719E0	1.7386E-4	-9.3646E-2
-2.9409E0	-2.2396E0	1.741E-4	-9.3452E-2
-2.6022E0	-2.5524E0	1.7522E-4	-9.326E-2
-2.2271E0	-2.8031E0	1.7576E-4	-9.3068E-2
-1.8287E0	-2.9874E0	1.746E-4	-9.2877E-2
-1.4204E0	-3.1038E0	1.7397E-4	-9.2684E-2
-1.0155E0	-3.1538E0	1.7449E-4	-9.2491E-2
-6.2629E-1	-3.1416E0	1.743E-4	-9.2298E-2
-2.6376E-1	-3.0739E0	1.7434E-4	-9.2105E-2
6.3183E-2	-2.9595E0	1.7498E-4	-9.1913E-2
3.4797E-1	-2.8087E0	1.7633E-4	-9.172E-2
5.8667E-1	-2.6327E0	1.7709E-4	-9.1529E-2
7.781E-1	-2.4432E0	1.7649E-4	-9.1338E-2
9.2378E-1	-2.2512E0	1.7616E-4	-9.1146E-2
1.0278E0	-2.067E0	1.7524E-4	-9.0953E-2
1.0963E0	-1.8992E0	1.7521E-4	-9.076E-2
1.1375E0	-1.7545E0	1.7603E-4	-9.0568E-2
1.1604E0	-1.6373E0	1.76E-4	-9.0376E-2
1.1749E0	-1.5494E0	1.7674E-4	-9.0183E-2
1.1909E0	-1.49E0	1.7797E-4	-8.9991E-2
1.2175E0	-1.4557E0	1.7824E-4	-8.98E-2
1.2626E0	-1.441E0	1.7788E-4	-8.961E-2
1.3324E0	-1.4385E0	1.7541E-4	-8.9418E-2
1.4309E0	-1.4393E0	1.7458E-4	-8.9225E-2
1.5598E0	-1.4337E0	1.7531E-4	-8.9032E-2
1.718E0	-1.4116E0	1.7464E-4	-8.884E-2
1.902E0	-1.3637E0	1.742E-4	-8.8647E-2
2.1057E0	-1.2813E0	1.7457E-4	-8.8455E-2
2.3212E0	-1.1574E0	1.745E-4	-8.8263E-2
2.5385E0	-9.8721E-1	1.7407E-4	-8.8072E-2
2.7467E0	-7.6821E-1	1.7253E-4	-8.7879E-2
2.9343E0	-5.0054E-1	1.7199E-4	-8.7686E-2
3.0898E0	-1.8712E-1	1.7197E-4	-8.7493E-2
3.2024E0	1.6648E-1	1.7125E-4	-8.73E-2
3.2626E0	5.5223E-1	1.7167E-4	-8.7107E-2
3.2628E0	9.5999E-1	1.7235E-4	-8.6915E-2
3.1978E0	1.378E0	1.7246E-4	-8.6722E-2
3.0648E0	1.7933E0	1.7189E-4	-8.653E-2
2.8641E0	2.1926E0	1.7116E-4	-8.6337E-2
2.5988E0	2.5627E0	1.7153E-4	-8.6144E-2
2.2747E0	2.8915E0	1.7222E-4	-8.5951E-2
1.9002E0	3.168E0	1.7271E-4	-8.5758E-2
1.4859E0	3.3834E0	1.7351E-4	-8.5565E-2
1.044E0	3.5312E0	1.7455E-4	-8.5373E-2
5.8765E-1	3.6078E0	1.7488E-4	-8.5182E-2
1.3065E-1	3.6124E0	1.7463E-4	-8.4989E-2
-3.1359E-1	3.547E0	1.7521E-4	-8.4796E-2
-7.3248E-1	3.4165E0	1.769E-4	-8.4604E-2
-1.1149E0	3.2283E0	1.7779E-4	-8.4413E-2
-1.4517E0	2.9917E0	1.7745E-4	-8.4222E-2
-1.736E0	2.7179E0	1.7739E-4	-8.403E-2
-1.9639E0	2.4187E0	1.7734E-4	-8.3839E-2
-2.1338E0	2.1065E0	1.7636E-4	-8.3647E-2
-2.2473E0	1.7933E0	1.7565E-4	-8.3454E-2
-2.3082E0	1.4903E0	1.7666E-4	-8.3261E-2
-2.3229E0	1.207E0	1.7817E-4	-8.3069E-2
-2.2995E0	9.5138E-1	1.7792E-4	-8.2879E-2
-2.2474E0	7.2868E-1	1.7713E-4	-8.2687E-2
-2.1768E0	5.4184E-1	1.7689E-4	-8.2495E-2
-2.098E0	3.9118E-1	1.7591E-4	-8.2304E-2
-2.0209E0	2.7448E-1	1.7434E-4	-8.2112E-2
-1.9541E0	1.8721E-1	1.7348E-4	-8.1918E-2
-1.9048E0	1.2287E-1	1.7348E-4	-8.1725E-2
-1.8782E0	7.3448E-2	1.7408E-4	-8.1533E-2
-1.877E0	2.9938E-2	1.7383E-4	-8.134E-2
-1.9017E0	-1.7037E-2	1.7458E-4	-8.1147E-2
-1.9499E0	-7.6631E-2	1.7556E-4	-8.0956E-2
-2.0174E0	-1.5717E-1	1.7474E-4	-8.0766E-2
-2.0973E0	-2.6559E-1	1.7283E-4	-8.0573E-2
-2.1815E0	-4.0699E-1	1.7215E-4	-8.0379E-2
-2.2604E0	-5.8423E-1	1.7293E-4	-8.0186E-2
-2.3238E0	-7.977E-1	1.7393E-4	-7.9994E-2
-2.3615E0	-1.0452E0	1.7331E-4	-7.9803E-2
-2.3639E0	-1.3221E0	1.7301E-4	-7.961E-2
-2.3226E0	-1.6213E0	1.7295E-4	-7.9418E-2
-2.2307E0	-1.9338E0	1.7304E-4	-7.9225E-2
-2.0838E0	-2.2489E0	1.7254E-4	-7.9033E-2
-1.8796E0	-2.555E0	1.7233E-4	-7.884E-2
-1.6187E0	-2.8398E0	1.7357E-4	-7.8647E-2
-1.3045E0	-3.0916E0	1.7442E-4	-7.8456E-2
-9.4285E-1	-3.2991E0	1.7466E-4	-7.8264E-2
-5.4212E-1	-3.4526E0	1.7371E-4	-7.8074E-2
-1.1269E-1	-3.5443E0	1.7188E-4	-7.7881E-2
3.3348E-1	-3.5687E0	1.7166E-4	-7.7687E-2
7.8342E-1	-3.5229E0	1.7163E-4	-7.7495E-2
1.2238E0	-3.4069E0	1.7167E-4	-7.7302E-2
1.6415E0	-3.2235E0	1.7162E-4	-7.7109E-2
2.0243E0	-2.9782E0	1.7235E-4	-7.6916E-2
2.3615E0	-2.679E0	1.7394E-4	-7.6724E-2
2.6442E0	-2.3358E0	1.7485E-4	-7.6533E-2
2.866E0	-1.9602E0	1.7372E-4	-7.6342E-2
3.0232E0	-1.5647E0	1.7295E-4	-7.615E-2
3.1147E0	-1.1622E0	1.7231E-4	-7.5957E-2
3.1422E0	-7.652E-1	1.7215E-4	-7.5764E-2
3.1102E0	-3.8546E-1	1.7217E-4	-7.5571E-2
3.0253E0	-3.3244E-2	1.7269E-4	-7.5379E-2
2.896E0	2.8312E-1	1.7278E-4	-7.5187E-2
2.7325E0	5.5757E-1	1.7279E-4	-7.4995E-2
2.5454E0	7.8657E-1	1.7243E-4	-7.4802E-2
2.3459E0	9.6919E-1	1.7239E-4	-7.461E-2
2.1446E0	1.107E0	1.7306E-4	-7.4417E-2
1.9511E0	1.2042E0	1.7356E-4	-7.4226E-2
1.7737E0	1.2666E0	1.7307E-4	-7.4034E-2
1.6187E0	1.302E0	1.7254E-4	-7.3842E-2
1.49E0	1.3192E0	1.7208E-4	-7.3649E-2
1.3894E0	1.3275E0	1.7168E-4	-7.3456E-2
1.3159E0	1.3362E0	1.7233E-4	-7.3263E-2
1.2665E0	1.3538E0	1.7318E-4	-7.307E-2
1.2359E0	1.3878E0	1.741E-4	-7.2878E-2
1.2171E0	1.444E0	1.7483E-4	-7.2687E-2
1.2016E0	1.5259E0	1.7485E-4	-7.2495E-2
1.1806E0	1.635E0	1.7405E-4	-7.2304E-2
1.1446E0	1.7702E0	1.7269E-4	-7.2112E-2
1.085E0	1.9281E0	1.7217E-4	-7.1918E-2
9.9392E-1	2.103E0	1.7337E-4	-7.1724E-2
8.6502E-1	2.2872E0	1.7509E-4	-7.1532E-2
6.9399E-1	2.4716E0	1.7505E-4	-7.1341E-2
4.7877E-1	2.6459E0	1.7554E-4	-7.1149E-2
2.1981E-1	2.7994E0	1.7584E-4	-7.0958E-2
-7.9898E-2	2.9215E0	1.7447E-4	-7.0767E-2
-4.1487E-1	3.0023E0	1.7336E-4	-7.0573E-2
-7.7735E-1	3.0334E0	1.7372E-4	-7.038E-2
