jMRUI Data Textfile

Filename: lip_c_correct_4.7shift.txt

PointsInDataset: 32768     
DatasetsInFile: 1         
SamplingInterval: 3.3333E-2 
ZeroOrderPhase: 0E0       
BeginTime: 0E0       
TransmitterFrequency: 2.9722E8  
MagneticField: 0E0       
TypeOfNucleus: 0E0       
NameOfPatient: 
DateOfExperiment: 
Spectrometer: 
AdditionalInfo: 


Signal and FFT
sig(real)	sig(imag)	fft(real)	fft(imag)
Signal 1 out of 1 in file
4.1E-1	0E0	-1.4571E-7	1.5282E-2
4.054E-1	-6.0776E-2	-1.6598E-7	1.5302E-2
3.9171E-1	-1.2015E-1	-1.812E-7	1.5322E-2
3.6925E-1	-1.7675E-1	-1.8924E-7	1.5341E-2
3.3855E-1	-2.2928E-1	-1.8921E-7	1.5361E-2
3.0034E-1	-2.7654E-1	-1.8185E-7	1.5381E-2
2.5552E-1	-3.1743E-1	-1.6922E-7	1.5401E-2
2.0513E-1	-3.5106E-1	-1.5353E-7	1.5421E-2
1.5037E-1	-3.7665E-1	-1.3599E-7	1.544E-2
9.2514E-2	-3.9366E-1	-1.1642E-7	1.546E-2
3.2914E-2	-4.0173E-1	-9.3844E-8	1.548E-2
-2.7043E-2	-4.0072E-1	-6.7526E-8	1.55E-2
-8.597E-2	-3.9071E-1	-3.7502E-8	1.552E-2
-1.4251E-1	-3.7198E-1	-4.3403E-9	1.5539E-2
-1.9537E-1	-3.4503E-1	3.1396E-8	1.5559E-2
-2.4335E-1	-3.1055E-1	6.914E-8	1.5579E-2
-2.8537E-1	-2.6939E-1	1.0749E-7	1.5599E-2
-3.2052E-1	-2.2257E-1	1.4315E-7	1.5618E-2
-3.4803E-1	-1.7123E-1	1.7073E-7	1.5638E-2
-3.6735E-1	-1.166E-1	1.842E-7	1.5658E-2
-3.7809E-1	-5.9991E-2	1.7956E-7	1.5677E-2
-3.801E-1	-2.7477E-3	1.5745E-7	1.5697E-2
-3.7344E-1	5.3785E-2	1.2394E-7	1.5717E-2
-3.5835E-1	1.0829E-1	8.857E-8	1.5737E-2
-3.353E-1	1.5952E-1	6.0463E-8	1.5756E-2
-3.0493E-1	2.063E-1	4.4177E-8	1.5776E-2
-2.6804E-1	2.4759E-1	3.7585E-8	1.5796E-2
-2.2561E-1	2.825E-1	3.2843E-8	1.5816E-2
-1.7871E-1	3.1028E-1	2.0042E-8	1.5836E-2
-1.2853E-1	3.3039E-1	-8.1344E-9	1.5855E-2
-7.6301E-2	3.4246E-1	-5.2835E-8	1.5875E-2
-2.3306E-2	3.4633E-1	-1.0805E-7	1.5895E-2
2.9176E-2	3.4204E-1	-1.6253E-7	1.5915E-2
7.9894E-2	3.2983E-1	-2.0377E-7	1.5934E-2
1.2766E-1	3.1013E-1	-2.2222E-7	1.5954E-2
1.7137E-1	2.8354E-1	-2.1418E-7	1.5974E-2
2.1004E-1	2.5084E-1	-1.8245E-7	1.5994E-2
2.4283E-1	2.1293E-1	-1.3494E-7	1.6014E-2
