jMRUI Data Textfile

Filename: mm3_corrected.txt

PointsInDataset: 32768     
DatasetsInFile: 1         
SamplingInterval: 3.3333E-2 
ZeroOrderPhase: 0E0       
BeginTime: 0E0       
TransmitterFrequency: 2.9722E8  
MagneticField: 0E0       
TypeOfNucleus: 0E0       
NameOfPatient: 
DateOfExperiment: 
Spectrometer: 
AdditionalInfo: 


Signal and FFT
sig(real)	sig(imag)	fft(real)	fft(imag)
Signal 1 out of 1 in file
7.6E-1	0E0	1.8432E-7	3.0831E-2
7.5006E-1	-1.2252E-1	2.1258E-7	3.0867E-2
7.205E-1	-2.4183E-1	2.3421E-7	3.0904E-2
6.7209E-1	-3.5481E-1	2.4797E-7	3.0941E-2
6.061E-1	-4.5851E-1	2.5263E-7	3.0977E-2
5.2425E-1	-5.5021E-1	2.4704E-7	3.1014E-2
4.2869E-1	-6.2752E-1	2.3019E-7	3.105E-2
3.2192E-1	-6.8842E-1	2.0137E-7	3.1087E-2
2.0673E-1	-7.313E-1	1.6024E-7	3.1124E-2
8.6141E-2	-7.5505E-1	1.0697E-7	3.116E-2
-3.6703E-2	-7.5905E-1	4.2347E-8	3.1197E-2
-1.5858E-1	-7.4319E-1	-3.2265E-8	3.1234E-2
-2.7631E-1	-7.0789E-1	-1.1489E-7	3.127E-2
-3.868E-1	-6.5408E-1	-2.0307E-7	3.1307E-2
-4.8717E-1	-5.8316E-1	-2.9397E-7	3.1344E-2
-5.748E-1	-4.9698E-1	-3.8455E-7	3.138E-2
-6.4738E-1	-3.9781E-1	-4.7176E-7	3.1417E-2
-7.0302E-1	-2.8824E-1	-5.5269E-7	3.1454E-2
-7.4027E-1	-1.7114E-1	-6.2472E-7	3.149E-2
-7.5815E-1	-4.9562E-2	-6.8563E-7	3.1527E-2
-7.562E-1	7.3302E-2	-7.337E-7	3.1564E-2
-7.3447E-1	1.9424E-1	-7.6768E-7	3.1601E-2
-6.9352E-1	3.1009E-1	-7.8686E-7	3.1638E-2
-6.3444E-1	4.1782E-1	-7.9102E-7	3.1674E-2
-5.5877E-1	5.1461E-1	-7.8044E-7	3.1711E-2
-4.6848E-1	5.9793E-1	-7.5583E-7	3.1748E-2
-3.6595E-1	6.656E-1	-7.1832E-7	3.1785E-2
-2.5386E-1	7.1586E-1	-6.6947E-7	3.1821E-2
-1.3513E-1	7.4738E-1	-6.1114E-7	3.1858E-2
-1.2882E-2	7.5935E-1	-5.4551E-7	3.1895E-2
1.0969E-1	7.5146E-1	-4.7501E-7	3.1932E-2
2.2939E-1	7.2391E-1	-4.0216E-7	3.1968E-2
3.4307E-1	6.7743E-1	-3.295E-7	3.2005E-2
4.4776E-1	6.1323E-1	-2.5947E-7	3.2042E-2
5.4073E-1	5.33E-1	-1.9421E-7	3.2079E-2
6.1954E-1	4.3884E-1	-1.3552E-7	3.2115E-2
6.8214E-1	3.3321E-1	-8.468E-8	3.2152E-2
7.2689E-1	2.1887E-1	-4.2445E-8	3.2189E-2
7.5262E-1	9.8822E-2	-8.9669E-9	3.2225E-2
7.5866E-1	-2.3794E-2	1.6158E-8	3.2262E-2
7.4485E-1	-1.4577E-1	3.384E-8	3.2299E-2
7.1156E-1	-2.6392E-1	4.54E-8	3.2335E-2
6.5966E-1	-3.7515E-1	5.2447E-8	3.2372E-2
5.9052E-1	-4.7655E-1	5.6749E-8	3.2409E-2
5.0593E-1	-5.6547E-1	6.0099E-8	3.2445E-2
4.0813E-1	-6.3958E-1	6.4188E-8	3.2482E-2
2.9966E-1	-6.9696E-1	7.0509E-8	3.2519E-2
1.8338E-1	-7.3609E-1	8.0274E-8	3.2555E-2
6.2312E-2	-7.5597E-1	9.437E-8	3.2592E-2
-6.0363E-2	-7.5606E-1	1.1335E-7	3.2629E-2
-1.8144E-1	-7.3638E-1	1.3743E-7	3.2666E-2
-2.9775E-1	-6.9744E-1	1.6655E-7	3.2702E-2
-4.0625E-1	-6.4027E-1	2.0043E-7	3.2739E-2
-5.0411E-1	-5.6635E-1	2.3862E-7	3.2776E-2
-5.8876E-1	-4.7764E-1	2.8058E-7	3.2812E-2
-6.58E-1	-3.7645E-1	3.2576E-7	3.2849E-2
-7.1001E-1	-2.6543E-1	3.7358E-7	3.2886E-2
-7.4344E-1	-1.4748E-1	4.2353E-7	3.2923E-2
-7.5742E-1	-2.5705E-2	4.7512E-7	3.2959E-2
-7.5158E-1	9.6721E-2	5.2786E-7	3.2996E-2
-7.2609E-1	2.1659E-1	5.8126E-7	3.3033E-2
-6.8161E-1	3.3078E-1	6.3476E-7	3.3069E-2
-6.1931E-1	4.3628E-1	6.877E-7	3.3106E-2
-5.4082E-1	5.3036E-1	7.3932E-7	3.3143E-2
-4.482E-1	6.1054E-1	7.8876E-7	3.3179E-2
-3.4388E-1	6.7473E-1	8.3508E-7	3.3216E-2
-2.3059E-1	7.2126E-1	8.773E-7	3.3253E-2
-1.1129E-1	7.4892E-1	9.1448E-7	3.3289E-2
1.0894E-2	7.5697E-1	9.4577E-7	3.3326E-2
1.3276E-1	7.4523E-1	9.7046E-7	3.3363E-2
2.5113E-1	7.14E-1	9.8804E-7	3.3399E-2
3.6291E-1	6.641E-1	9.9819E-7	3.3436E-2
4.6516E-1	5.9684E-1	1.0008E-6	3.3473E-2
5.5522E-1	5.1398E-1	9.9594E-7	3.3509E-2
6.3074E-1	4.1771E-1	9.8379E-7	3.3546E-2
6.8974E-1	3.1053E-1	9.6463E-7	3.3583E-2
7.3068E-1	1.9525E-1	9.3879E-7	3.3619E-2
7.5251E-1	7.4897E-2	9.0664E-7	3.3656E-2
7.5464E-1	-4.7383E-2	8.6852E-7	3.3692E-2
7.3703E-1	-1.6839E-1	8.2486E-7	3.3729E-2
7.0015E-1	-2.8497E-1	7.761E-7	3.3766E-2
6.4497E-1	-3.9405E-1	7.2282E-7	3.3802E-2
5.7293E-1	-4.928E-1	6.6571E-7	3.3839E-2
4.8593E-1	-5.7864E-1	6.0562E-7	3.3876E-2
3.8624E-1	-6.4931E-1	5.4357E-7	3.3913E-2
2.7648E-1	-7.0299E-1	4.8072E-7	3.3949E-2
1.5952E-1	-7.3825E-1	4.1828E-7	3.3986E-2
3.8413E-2	-7.542E-1	3.5745E-7	3.4023E-2
-8.3658E-2	-7.5042E-1	2.9934E-7	3.4059E-2
-2.0351E-1	-7.2701E-1	2.4485E-7	3.4096E-2
-3.1799E-1	-6.846E-1	1.946E-7	3.4133E-2
-4.2413E-1	-6.2428E-1	1.4891E-7	3.417E-2
-5.1914E-1	-5.4766E-1	1.0779E-7	3.4206E-2
-6.0054E-1	-4.5674E-1	7.0964E-8	3.4243E-2
-6.6621E-1	-3.539E-1	3.8011E-8	3.428E-2
-7.1444E-1	-2.4184E-1	8.4301E-9	3.4317E-2
-7.4396E-1	-1.2348E-1	-1.8225E-8	3.4353E-2
-7.5401E-1	-1.939E-3	-4.2251E-8	3.439E-2
-7.4434E-1	1.1962E-1	-6.3725E-8	3.4427E-2
-7.152E-1	2.38E-1	-8.2483E-8	3.4464E-2
-6.6737E-1	3.5013E-1	-9.8137E-8	3.45E-2
-6.021E-1	4.5306E-1	-1.1013E-7	3.4537E-2
-5.211E-1	5.441E-1	-1.1783E-7	3.4574E-2
-4.265E-1	6.2088E-1	-1.206E-7	3.4611E-2
-3.2078E-1	6.8139E-1	-1.1788E-7	3.4648E-2
-2.067E-1	7.2407E-1	-1.0928E-7	3.4684E-2
-8.726E-2	7.4778E-1	-9.4576E-8	3.4721E-2
3.4421E-2	7.5194E-1	-7.3757E-8	3.4758E-2
1.5516E-1	7.3642E-1	-4.7028E-8	3.4795E-2
2.7179E-1	7.0165E-1	-1.4809E-8	3.4831E-2
3.8128E-1	6.4854E-1	2.2254E-8	3.4868E-2
4.8075E-1	5.7848E-1	6.3279E-8	3.4905E-2
5.6761E-1	4.9333E-1	1.0714E-7	3.4942E-2
6.3959E-1	3.953E-1	1.5245E-7	3.4978E-2
6.9482E-1	2.8697E-1	1.9762E-7	3.5015E-2
7.3185E-1	1.7117E-1	2.4087E-7	3.5052E-2
7.4973E-1	5.0947E-2	2.8034E-7	3.5089E-2
7.4799E-1	-7.0564E-2	3.1422E-7	3.5125E-2
7.2669E-1	-1.9018E-1	3.4088E-7	3.5162E-2
6.8639E-1	-3.0478E-1	3.5905E-7	3.5199E-2
6.2815E-1	-4.1136E-1	3.6791E-7	3.5235E-2
5.5351E-1	-5.0714E-1	3.6719E-7	3.5272E-2
4.6442E-1	-5.8961E-1	3.5726E-7	3.5309E-2
3.6323E-1	-6.5663E-1	3.3903E-7	3.5346E-2
2.5257E-1	-7.0645E-1	3.1393E-7	3.5382E-2
1.3535E-1	-7.3777E-1	2.8377E-7	3.5419E-2
1.4648E-2	-7.4979E-1	2.5053E-7	3.5456E-2
-1.0639E-1	-7.4218E-1	2.1624E-7	3.5492E-2
-2.2459E-1	-7.1517E-1	1.8279E-7	3.5529E-2
-3.3687E-1	-6.6947E-1	1.5176E-7	3.5566E-2
-4.4029E-1	-6.0627E-1	1.2434E-7	3.5603E-2
-5.3215E-1	-5.2725E-1	1.0123E-7	3.5639E-2
-6.1005E-1	-4.3448E-1	8.2655E-8	3.5676E-2
-6.7196E-1	-3.3038E-1	6.8388E-8	3.5713E-2
-7.1627E-1	-2.1768E-1	5.7816E-8	3.575E-2
-7.4183E-1	-9.9347E-2	5.0058E-8	3.5787E-2
-7.4797E-1	2.1534E-2	4.4105E-8	3.5823E-2
-7.3455E-1	1.418E-1	3.8961E-8	3.586E-2
-7.0192E-1	2.5829E-1	3.3778E-8	3.5897E-2
-6.5095E-1	3.6798E-1	2.7971E-8	3.5934E-2
-5.8298E-1	4.68E-1	2.1287E-8	3.597E-2
-4.9979E-1	5.5572E-1	1.382E-8	3.6007E-2
-4.0357E-1	6.2887E-1	5.9749E-9	3.6044E-2
-2.9685E-1	6.8554E-1	-1.6337E-9	3.6081E-2
-1.8241E-1	7.2426E-1	-8.3157E-9	3.6117E-2
-6.3253E-2	7.4401E-1	-1.3468E-8	3.6154E-2
5.7497E-2	7.4429E-1	-1.6727E-8	3.6191E-2
1.7669E-1	7.2511E-1	-1.8095E-8	3.6228E-2
2.9119E-1	6.8697E-1	-1.7994E-8	3.6264E-2
3.9803E-1	6.3089E-1	-1.7267E-8	3.6301E-2
4.944E-1	5.5833E-1	-1.7081E-8	3.6338E-2
5.7779E-1	4.7121E-1	-1.8774E-8	3.6375E-2
6.4603E-1	3.7181E-1	-2.366E-8	3.6411E-2
6.9734E-1	2.6274E-1	-3.2813E-8	3.6448E-2
7.3039E-1	1.4685E-1	-4.6885E-8	3.6485E-2
7.4432E-1	2.7177E-2	-6.5972E-8	3.6522E-2
7.3877E-1	-9.3141E-2	-8.9557E-8	3.6559E-2
7.139E-1	-2.1096E-1	-1.1655E-7	3.6595E-2
6.7038E-1	-3.232E-1	-1.454E-7	3.6632E-2
6.0935E-1	-4.2693E-1	-1.7428E-7	3.6669E-2
5.3241E-1	-5.1944E-1	-2.0129E-7	3.6706E-2
4.416E-1	-5.9831E-1	-2.2472E-7	3.6742E-2
3.3928E-1	-6.6149E-1	-2.4321E-7	3.6779E-2
2.2814E-1	-7.0734E-1	-2.5592E-7	3.6816E-2
1.111E-1	-7.3466E-1	-2.6259E-7	3.6853E-2
-8.7793E-3	-7.4276E-1	-2.6355E-7	3.689E-2
-1.2837E-1	-7.3143E-1	-2.5965E-7	3.6926E-2
-2.4453E-1	-7.0097E-1	-2.5214E-7	3.6963E-2
-3.5423E-1	-6.522E-1	-2.4247E-7	3.7E-2
