jMRUI Data Textfile

Filename: mm4.txt

PointsInDataset: 32768     
DatasetsInFile: 1         
SamplingInterval: 3.333E-2  
ZeroOrderPhase: 0E0       
BeginTime: 0E0       
TransmitterFrequency: 2.9722E8  
MagneticField: 0E0       
TypeOfNucleus: 1E0       
NameOfPatient: 
DateOfExperiment: 
Spectrometer: 
AdditionalInfo: 


Signal and FFT
sig(real)	sig(imag)	fft(real)	fft(imag)
Signal 1 out of 1 in file
1.1E-1	0E0	3.0585E-8	2.8268E-3
1.0942E-1	-1.1277E-2	5.3352E-8	2.8321E-3
1.0769E-1	-2.2436E-2	8.7875E-8	2.8374E-3
1.0482E-1	-3.3358E-2	1.2858E-7	2.8427E-3
1.0085E-1	-4.3928E-2	1.684E-7	2.848E-3
9.5812E-2	-5.4036E-2	2.0055E-7	2.8533E-3
8.9768E-2	-6.3574E-2	2.1999E-7	2.8585E-3
8.2777E-2	-7.2441E-2	2.2432E-7	2.8637E-3
7.4913E-2	-8.0546E-2	2.1369E-7	2.869E-3
6.6261E-2	-8.7801E-2	1.9022E-7	2.8742E-3
5.691E-2	-9.4131E-2	1.5716E-7	2.8795E-3
4.6959E-2	-9.9469E-2	1.1842E-7	2.8848E-3
3.6514E-2	-1.0376E-1	7.8199E-8	2.8901E-3
2.5684E-2	-1.0696E-1	4.0772E-8	2.8953E-3
1.4583E-2	-1.0902E-1	1.0042E-8	2.9007E-3
3.3293E-3	-1.0994E-1	-1.1082E-8	2.906E-3
-7.9598E-3	-1.0971E-1	-2.126E-8	2.9113E-3
-1.9165E-2	-1.0831E-1	-2.0899E-8	2.9166E-3
-3.0168E-2	-1.0577E-1	-1.1835E-8	2.9219E-3
-4.0853E-2	-1.0212E-1	3.331E-9	2.9272E-3
-5.1107E-2	-9.7396E-2	2.1847E-8	2.9325E-3
-6.0822E-2	-9.1643E-2	4.1105E-8	2.9378E-3
-6.9896E-2	-8.4923E-2	5.8625E-8	2.9431E-3
-7.8234E-2	-7.7309E-2	7.1951E-8	2.9484E-3
-8.5746E-2	-6.8881E-2	7.8741E-8	2.9536E-3
-9.2355E-2	-5.9726E-2	7.7121E-8	2.9589E-3
-9.7991E-2	-4.9943E-2	6.6219E-8	2.9642E-3
-1.0259E-1	-3.9633E-2	4.6651E-8	2.9694E-3
-1.0611E-1	-2.8906E-2	2.0733E-8	2.9747E-3
-1.0852E-1	-1.7874E-2	-7.7132E-9	2.98E-3
-1.0978E-1	-6.6546E-3	-3.3985E-8	2.9853E-3
-1.0988E-1	4.6349E-3	-5.3442E-8	2.9906E-3
-1.0882E-1	1.5875E-2	-6.2556E-8	2.9959E-3
-1.0662E-1	2.6948E-2	-5.9812E-8	3.0012E-3
-1.033E-1	3.7736E-2	-4.6187E-8	3.0066E-3
-9.8881E-2	4.8127E-2	-2.4977E-8	3.0119E-3
-9.3424E-2	5.801E-2	-9.3737E-10	3.0172E-3
-8.6983E-2	6.7281E-2	2.1081E-8	3.0224E-3
-7.9626E-2	7.5843E-2	3.7503E-8	3.0277E-3
-7.143E-2	8.3605E-2	4.6842E-8	3.033E-3
-6.2481E-2	9.0486E-2	4.9622E-8	3.0383E-3
-5.2874E-2	9.6413E-2	4.7489E-8	3.0435E-3
-4.271E-2	1.0132E-1	4.2092E-8	3.0488E-3
-3.2097E-2	1.0517E-1	3.4326E-8	3.0541E-3
-2.1146E-2	1.079E-1	2.4266E-8	3.0594E-3
-9.9718E-3	1.095E-1	1.1651E-8	3.0646E-3
1.3066E-3	1.0994E-1	-3.5001E-9	3.0699E-3
1.2571E-2	1.0923E-1	-2.0524E-8	3.0752E-3
2.3702E-2	1.0736E-1	-3.8139E-8	3.0805E-3
3.4583E-2	1.0436E-1	-5.4774E-8	3.0858E-3
4.5099E-2	1.0026E-1	-6.9032E-8	3.0911E-3
5.514E-2	9.511E-2	-8.0113E-8	3.0964E-3
6.4598E-2	8.8954E-2	-8.7998E-8	3.1017E-3
7.3376E-2	8.1861E-2	-9.3311E-8	3.107E-3
8.138E-2	7.3905E-2	-9.6872E-8	3.1123E-3
8.8526E-2	6.5171E-2	-9.9196E-8	3.1176E-3
9.4738E-2	5.575E-2	-1.0025E-7	3.1229E-3
9.9952E-2	4.5743E-2	-9.9584E-8	3.1282E-3
1.0411E-1	3.5254E-2	-9.6752E-8	3.1335E-3
1.0718E-1	2.4394E-2	-9.168E-8	3.1388E-3
1.0911E-1	1.3277E-2	-8.4819E-8	3.1441E-3
1.0989E-1	2.021E-3	-7.7015E-8	3.1494E-3
1.0952E-1	-9.2557E-3	-6.9233E-8	3.1547E-3
1.0799E-1	-2.0434E-2	-6.2238E-8	3.16E-3
1.0532E-1	-3.1397E-2	-5.6339E-8	3.1653E-3
1.0155E-1	-4.2028E-2	-5.1267E-8	3.1706E-3
9.6699E-2	-5.2215E-2	-4.6234E-8	3.1759E-3
9.0833E-2	-6.1852E-2	-4.0173E-8	3.1812E-3
8.4011E-2	-7.0837E-2	-3.2056E-8	3.1865E-3
7.6304E-2	-7.9074E-2	-2.1135E-8	3.1918E-3
6.7793E-2	-8.6477E-2	-7.0502E-9	3.1971E-3
5.8568E-2	-9.2969E-2	1.0153E-8	3.2024E-3
4.8727E-2	-9.8481E-2	3.0008E-8	3.2077E-3
3.8372E-2	-1.0295E-1	5.1579E-8	3.213E-3
2.7614E-2	-1.0634E-1	7.3446E-8	3.2183E-3
1.6566E-2	-1.0861E-1	9.3823E-8	3.2235E-3
5.3439E-3	-1.0973E-1	1.1082E-7	3.2288E-3
-5.9339E-3	-1.097E-1	1.2277E-7	3.2341E-3
-1.7148E-2	-1.0851E-1	1.2849E-7	3.2393E-3
-2.8181E-2	-1.0617E-1	1.2739E-7	3.2446E-3
-3.8917E-2	-1.0272E-1	1.1954E-7	3.2499E-3
-4.9241E-2	-9.8188E-2	1.0575E-7	3.2551E-3
-5.9046E-2	-9.2619E-2	8.7641E-8	3.2604E-3
-6.8228E-2	-8.6074E-2	6.7719E-8	3.2657E-3
-7.669E-2	-7.8623E-2	4.912E-8	3.271E-3
-8.4343E-2	-7.0344E-2	3.4942E-8	3.2763E-3
-9.1107E-2	-6.1324E-2	2.7245E-8	3.2816E-3
-9.691E-2	-5.1658E-2	2.6148E-8	3.2869E-3
-1.0169E-1	-4.1449E-2	2.9576E-8	3.2922E-3
-1.054E-1	-3.0804E-2	3.401E-8	3.2975E-3
-1.08E-1	-1.9835E-2	3.6015E-8	3.3028E-3
-1.0946E-1	-8.658E-3	3.3839E-8	3.3081E-3
-1.0977E-1	2.6094E-3	2.8168E-8	3.3133E-3
-1.0892E-1	1.3849E-2	2.1585E-8	3.3186E-3
-1.0692E-1	2.4941E-2	1.6981E-8	3.3239E-3
-1.0379E-1	3.5769E-2	1.5823E-8	3.3292E-3
-9.9575E-2	4.622E-2	1.7292E-8	3.3345E-3
-9.4308E-2	5.6183E-2	1.877E-8	3.3398E-3
-8.8048E-2	6.5552E-2	1.7369E-8	3.3451E-3
-8.086E-2	7.423E-2	1.1565E-8	3.3504E-3
-7.282E-2	8.2126E-2	1.9612E-9	3.3556E-3
-6.4014E-2	8.9155E-2	-9.2358E-9	3.3609E-3
-5.4534E-2	9.5243E-2	-1.9682E-8	3.3662E-3
-4.4481E-2	1.0033E-1	-2.8405E-8	3.3715E-3
-3.3959E-2	1.0435E-1	-3.6484E-8	3.3768E-3
-2.308E-2	1.0728E-1	-4.6551E-8	3.3821E-3
-1.196E-2	1.0908E-1	-6.1412E-8	3.3874E-3
-7.137E-4	1.0972E-1	-8.2534E-8	3.3927E-3
1.0539E-2	1.0921E-1	-1.0913E-7	3.398E-3
2.1679E-2	1.0755E-1	-1.3818E-7	3.4033E-3
3.2589E-2	1.0476E-1	-1.6535E-7	3.4086E-3
4.3156E-2	1.0086E-1	-1.8614E-7	3.4139E-3
5.3266E-2	9.59E-2	-1.9707E-7	3.4192E-3
6.2814E-2	8.9929E-2	-1.964E-7	3.4246E-3
7.1699E-2	8.3012E-2	-1.8441E-7	3.4299E-3
7.9828E-2	7.522E-2	-1.6324E-7	3.4352E-3
8.7114E-2	6.6636E-2	-1.3635E-7	3.4405E-3
9.3482E-2	5.7351E-2	-1.0778E-7	3.4458E-3
9.8864E-2	4.7463E-2	-8.1326E-8	3.4511E-3
1.032E-1	3.7075E-2	-5.9894E-8	3.4564E-3
1.0646E-1	2.6298E-2	-4.512E-8	3.4617E-3
