jMRUI Data Textfile

Filename: mm4_corrected_4.7shift.txt

PointsInDataset: 32768     
DatasetsInFile: 1         
SamplingInterval: 3.3333E-2 
ZeroOrderPhase: 0E0       
BeginTime: 0E0       
TransmitterFrequency: 2.9722E8  
MagneticField: 0E0       
TypeOfNucleus: 0E0       
NameOfPatient: 
DateOfExperiment: 
Spectrometer: 
AdditionalInfo: 


Signal and FFT
sig(real)	sig(imag)	fft(real)	fft(imag)
Signal 1 out of 1 in file
1.1E-1	0E0	2.2248E-9	2.913E-3
1.0938E-1	-1.1619E-2	2.3611E-8	2.9182E-3
1.0755E-1	-2.3108E-2	4.5174E-8	2.9235E-3
1.045E-1	-3.4338E-2	6.4477E-8	2.9288E-3
1.0029E-1	-4.5184E-2	8.023E-8	2.9341E-3
9.4957E-2	-5.5525E-2	9.2382E-8	2.9394E-3
8.8561E-2	-6.5244E-2	1.0155E-7	2.9446E-3
8.1174E-2	-7.4233E-2	1.0819E-7	2.9499E-3
7.2878E-2	-8.2392E-2	1.1194E-7	2.9552E-3
6.3767E-2	-8.9629E-2	1.115E-7	2.9604E-3
5.3943E-2	-9.5862E-2	1.0503E-7	2.9657E-3
4.3516E-2	-1.0102E-1	9.0701E-8	2.971E-3
3.2601E-2	-1.0505E-1	6.7429E-8	2.9762E-3
2.1322E-2	-1.0791E-1	3.5393E-8	2.9815E-3
9.8046E-3	-1.0956E-1	-3.5848E-9	2.9868E-3
-1.8224E-3	-1.0998E-1	-4.6041E-8	2.9921E-3
-1.3429E-2	-1.0917E-1	-8.7414E-8	2.9974E-3
-2.4885E-2	-1.0714E-1	-1.2311E-7	3.0027E-3
-3.6063E-2	-1.0391E-1	-1.4972E-7	3.008E-3
-4.6836E-2	-9.9521E-2	-1.6586E-7	3.0133E-3
-5.7086E-2	-9.4016E-2	-1.7198E-7	3.0187E-3
-6.6697E-2	-8.746E-2	-1.694E-7	3.024E-3
-7.5561E-2	-7.9925E-2	-1.5895E-7	3.0293E-3
-8.358E-2	-7.1496E-2	-1.4022E-7	3.0346E-3
-9.0663E-2	-6.2267E-2	-1.1174E-7	3.04E-3
-9.6732E-2	-5.2342E-2	-7.2137E-8	3.0453E-3
-1.0172E-1	-4.1831E-2	-2.1515E-8	3.0506E-3
-1.0557E-1	-3.0852E-2	3.749E-8	3.0559E-3
-1.0823E-1	-1.9529E-2	9.9546E-8	3.0612E-3
-1.0969E-1	-7.987E-3	1.5738E-7	3.0664E-3
-1.0992E-1	3.6438E-3	2.0327E-7	3.0717E-3
-1.0892E-1	1.5234E-2	2.3076E-7	3.0769E-3
-1.067E-1	2.6652E-2	2.363E-7	3.0821E-3
-1.0328E-1	3.7773E-2	2.2014E-7	3.0874E-3
-9.8714E-2	4.847E-2	1.8643E-7	3.0926E-3
-9.3041E-2	5.8625E-2	1.4227E-7	3.0979E-3
-8.6327E-2	6.8124E-2	9.5936E-8	3.1031E-3
-7.8647E-2	7.686E-2	5.4902E-8	3.1084E-3
-7.0087E-2	8.4736E-2	2.4051E-8	3.1137E-3
-6.0744E-2	9.1663E-2	4.7355E-9	3.119E-3
-5.0721E-2	9.7565E-2	-5.1162E-9	3.1243E-3
-4.0131E-2	1.0238E-1	-9.8583E-9	3.1296E-3
-2.9092E-2	1.0604E-1	-1.4339E-8	3.1349E-3
-1.7729E-2	1.0852E-1	-2.2075E-8	3.1402E-3
-6.1671E-3	1.0978E-1	-3.4086E-8	3.1455E-3
5.4631E-3	1.0982E-1	-4.8837E-8	3.1508E-3
1.7032E-2	1.0862E-1	-6.3294E-8	3.1561E-3
2.8409E-2	1.0621E-1	-7.4551E-8	3.1614E-3
