jMRUI Data Textfile

Filename: AMLEA.txt

PointsInDataset: 32768     
DatasetsInFile: 1         
SamplingInterval: 3.3333E-2 
ZeroOrderPhase: 0E0       
BeginTime: 0E0       
TransmitterFrequency: 2.9722E8  
MagneticField: 6.9809E0  
TypeOfNucleus: 0E0       
NameOfPatient: 
DateOfExperiment: 
Spectrometer: 
AdditionalInfo: 
SignalNames: 5ALA;


Signal and FFT
sig(real)	sig(imag)	fft(real)	fft(imag)
Signal 1 out of 1 in file
2.9053E1	-4.5255E-6	2.7783E-3	7.5826E-1
2.8866E1	-3.0087E0	2.7691E-3	7.5963E-1
2.8321E1	-5.9704E0	2.7525E-3	7.6103E-1
2.7427E1	-8.8404E0	2.7554E-3	7.6243E-1
2.6199E1	-1.1575E1	2.7554E-3	7.6382E-1
2.4656E1	-1.4134E1	2.7435E-3	7.6521E-1
2.2824E1	-1.6479E1	2.7335E-3	7.6662E-1
2.0733E1	-1.8575E1	2.7371E-3	7.6802E-1
1.8418E1	-2.0392E1	2.7342E-3	7.6941E-1
1.5915E1	-2.1905E1	2.7245E-3	7.7081E-1
1.3266E1	-2.3093E1	2.7239E-3	7.7222E-1
1.0514E1	-2.3942E1	2.735E-3	7.7362E-1
7.7025E0	-2.4442E1	2.7341E-3	7.7501E-1
4.8769E0	-2.459E1	2.7288E-3	7.7641E-1
2.0823E0	-2.4389E1	2.7344E-3	7.7781E-1
-6.3704E-1	-2.3845E1	2.7356E-3	7.792E-1
-3.2383E0	-2.2975E1	2.727E-3	7.8059E-1
-5.681E0	-2.1796E1	2.7228E-3	7.8199E-1
-7.9276E0	-2.0333E1	2.7104E-3	7.834E-1
-9.9442E0	-1.8615E1	2.7182E-3	7.8481E-1
-1.1701E1	-1.6675E1	2.7365E-3	7.8621E-1
-1.3172E1	-1.455E1	2.738E-3	7.876E-1
-1.4338E1	-1.2278E1	2.7408E-3	7.8899E-1
-1.5184E1	-9.9025E0	2.7461E-3	7.9039E-1
-1.57E1	-7.4654E0	2.7424E-3	7.9177E-1
-1.5884E1	-5.0107E0	2.7375E-3	7.9318E-1
-1.5736E1	-2.5822E0	2.7495E-3	7.9457E-1
-1.5265E1	-2.2279E-1	2.7577E-3	7.9595E-1
-1.4485E1	2.0261E0	2.741E-3	7.9733E-1
-1.3413E1	4.1252E0	2.7324E-3	7.9873E-1
-1.2073E1	6.0381E0	2.7301E-3	8.0013E-1
-1.0494E1	7.7321E0	2.7182E-3	8.0151E-1
-8.7074E0	9.1783E0	2.6883E-3	8.0292E-1
-6.7481E0	1.0352E1	2.6867E-3	8.0434E-1
-4.6545E0	1.1235E1	2.6963E-3	8.0575E-1
-2.4668E0	1.1812E1	2.7031E-3	8.0714E-1
-2.2657E-1	1.2074E1	2.6902E-3	8.0853E-1
2.024E0	1.2018E1	2.691E-3	8.0995E-1
4.2426E0	1.1647E1	2.6992E-3	8.1134E-1
6.3879E0	1.0968E1	2.6932E-3	8.1274E-1
8.4201E0	9.995E0	2.6979E-3	8.1415E-1
1.0301E1	8.7451E0	2.7054E-3	8.1553E-1
1.1997E1	7.2417E0	2.6951E-3	8.1692E-1
1.3474E1	5.5118E0	2.6891E-3	8.1833E-1
1.4707E1	3.5866E0	2.6833E-3	8.1973E-1
1.5672E1	1.5003E0	2.6889E-3	8.2114E-1
1.635E1	-7.1036E-1	2.6968E-3	8.2253E-1
1.6728E1	-3.0064E0	2.6928E-3	8.2392E-1
1.6797E1	-5.3478E0	2.6862E-3	8.2531E-1
1.6555E1	-7.6937E0	2.6688E-3	8.2672E-1
1.6004E1	-1.0003E1	2.6808E-3	8.2814E-1
1.5152E1	-1.2237E1	2.682E-3	8.2953E-1
1.4012E1	-1.4357E1	2.6783E-3	8.3093E-1
1.26E1	-1.6325E1	2.6733E-3	8.3233E-1
1.094E1	-1.811E1	2.6695E-3	8.3374E-1
9.0567E0	-1.968E1	2.6859E-3	8.3515E-1
6.981E0	-2.1009E1	2.7029E-3	8.3655E-1
4.7454E0	-2.2075E1	2.7155E-3	8.3793E-1
2.3853E0	-2.286E1	2.7054E-3	8.3931E-1
-6.2201E-2	-2.3351E1	2.6821E-3	8.4071E-1
-2.5586E0	-2.3541E1	2.6851E-3	8.4212E-1
-5.065E0	-2.3425E1	2.6859E-3	8.4353E-1
-7.5426E0	-2.3007E1	2.6913E-3	8.4493E-1
-9.9533E0	-2.2293E1	2.7075E-3	8.4633E-1
-1.2261E1	-2.1295E1	2.7069E-3	8.4771E-1
-1.443E1	-2.0031E1	2.6958E-3	8.4911E-1
-1.6429E1	-1.852E1	2.6915E-3	8.5052E-1
-1.823E1	-1.6788E1	2.7045E-3	8.5192E-1
-1.9806E1	-1.4862E1	2.704E-3	8.5331E-1
-2.1138E1	-1.2773E1	2.7059E-3	8.5471E-1
-2.2207E1	-1.0554E1	2.7094E-3	8.5611E-1
-2.3001E1	-8.2407E0	2.713E-3	8.575E-1
-2.3513E1	-5.868E0	2.7097E-3	8.589E-1
-2.3739E1	-3.4728E0	2.7027E-3	8.603E-1
-2.3681E1	-1.0911E0	2.7095E-3	8.617E-1
-2.3346E1	1.2416E0	2.7198E-3	8.6309E-1
-2.2744E1	3.4912E0	2.7094E-3	8.6447E-1
-2.189E1	5.6257E0	2.6866E-3	8.6587E-1
-2.0803E1	7.6153E0	2.6877E-3	8.6729E-1
