jMRUI Data Textfile

Filename: GPC_GlycerolMoiety.txt

PointsInDataset: 32768     
DatasetsInFile: 1         
SamplingInterval: 3.3333E-2 
ZeroOrderPhase: 0E0       
BeginTime: 0E0       
TransmitterFrequency: 2.9722E8  
MagneticField: 0E0       
TypeOfNucleus: 0E0       
NameOfPatient: 
DateOfExperiment: 
Spectrometer: 
AdditionalInfo: 


Signal and FFT
sig(real)	sig(imag)	fft(real)	fft(imag)
Signal 1 out of 1 in file
5E0	-2.1856E-7	3.2379E-4	7.0085E-2
4.9906E0	-2.8008E-1	3.2399E-4	7.0326E-2
4.9653E0	-5.5907E-1	3.2461E-4	7.0566E-2
4.9239E0	-8.3603E-1	3.2536E-4	7.0806E-2
4.8669E0	-1.11E0	3.2592E-4	7.1045E-2
4.7942E0	-1.3802E0	3.2572E-4	7.1284E-2
4.7063E0	-1.6455E0	3.2534E-4	7.1524E-2
4.6033E0	-1.9053E0	3.2527E-4	7.1764E-2
4.4858E0	-2.1584E0	3.2507E-4	7.2004E-2
4.354E0	-2.4043E0	3.2511E-4	7.2244E-2
4.2085E0	-2.6419E0	3.2534E-4	7.2484E-2
4.0498E0	-2.8706E0	3.2576E-4	7.2723E-2
3.8784E0	-3.0896E0	3.2553E-4	7.2963E-2
3.695E0	-3.2982E0	3.2514E-4	7.3203E-2
3.5002E0	-3.4957E0	3.2512E-4	7.3442E-2
3.2946E0	-3.6815E0	3.2464E-4	7.3682E-2
3.079E0	-3.855E0	3.244E-4	7.3922E-2
2.8542E0	-4.0155E0	3.2472E-4	7.4162E-2
2.6209E0	-4.1628E0	3.2467E-4	7.4402E-2
2.3799E0	-4.2962E0	3.2429E-4	7.4642E-2
2.1321E0	-4.4154E0	3.236E-4	7.4881E-2
1.8784E0	-4.52E0	3.2265E-4	7.5122E-2
1.6195E0	-4.6097E0	3.2283E-4	7.5363E-2
1.3564E0	-4.6843E0	3.2375E-4	7.5604E-2
1.0899E0	-4.7437E0	3.2442E-4	7.5844E-2
8.2111E-1	-4.7875E0	3.2496E-4	7.6083E-2
5.5078E-1	-4.8159E0	3.2516E-4	7.6323E-2
2.7986E-1	-4.8287E0	3.2514E-4	7.6563E-2
9.2763E-3	-4.8259E0	3.2527E-4	7.6802E-2
-2.6008E-1	-4.8077E0	3.2514E-4	7.7042E-2
-5.273E-1	-4.7742E0	3.2496E-4	7.7282E-2
-7.915E-1	-4.7256E0	3.2487E-4	7.7522E-2
-1.0518E0	-4.6621E0	3.246E-4	7.7762E-2
-1.3074E0	-4.584E0	3.249E-4	7.8002E-2
-1.5574E0	-4.4917E0	3.2554E-4	7.8242E-2
-1.801E0	-4.3854E0	3.255E-4	7.8481E-2
-2.0374E0	-4.2658E0	3.2498E-4	7.8721E-2
-2.2659E0	-4.1332E0	3.2481E-4	7.8961E-2
-2.4858E0	-3.9882E0	3.2525E-4	7.9202E-2
-2.6964E0	-3.8314E0	3.2587E-4	7.9441E-2
-2.897E0	-3.6633E0	3.2591E-4	7.968E-2
-3.087E0	-3.4846E0	3.2499E-4	7.9919E-2
-3.2659E0	-3.2959E0	3.2381E-4	8.0159E-2
-3.4331E0	-3.098E0	3.232E-4	8.04E-2
-3.5882E0	-2.8916E0	3.2335E-4	8.0641E-2
-3.7306E0	-2.6775E0	3.2416E-4	8.0882E-2
-3.8602E0	-2.4563E0	3.2486E-4	8.1121E-2
