jMRUI Data Textfile

Filename: NAA_AcetylMoiety.txt

PointsInDataset: 32768     
DatasetsInFile: 1         
SamplingInterval: 3.3333E-2 
ZeroOrderPhase: 0E0       
BeginTime: 0E0       
TransmitterFrequency: 2.9722E8  
MagneticField: 0E0       
TypeOfNucleus: 0E0       
NameOfPatient: 
DateOfExperiment: 
Spectrometer: 
AdditionalInfo: 


Signal and FFT
sig(real)	sig(imag)	fft(real)	fft(imag)
Signal 1 out of 1 in file
3E0	-1.3113E-7	-1.1109E-5	1.2587E-1
2.9572E0	-5.0025E-1	-1.2094E-5	1.2601E-1
2.8316E0	-9.8621E-1	-1.1643E-5	1.2616E-1
2.6267E0	-1.4443E0	-1.0931E-5	1.263E-1
2.3484E0	-1.8617E0	-1.1321E-5	1.2645E-1
2.0044E0	-2.2267E0	-1.1777E-5	1.2659E-1
1.6045E0	-2.5292E0	-1.1161E-5	1.2674E-1
1.1599E0	-2.7606E0	-1.0947E-5	1.2688E-1
6.8302E-1	-2.9146E0	-1.0263E-5	1.2703E-1
1.8726E-1	-2.9869E0	-9.7242E-6	1.2717E-1
-3.1348E-1	-2.9755E0	-1.0436E-5	1.2731E-1
-8.0517E-1	-2.8808E0	-1.2466E-5	1.2746E-1
-1.274E0	-2.7054E0	-1.4125E-5	1.276E-1
-1.707E0	-2.4544E0	-1.4679E-5	1.2775E-1
-2.0919E0	-2.1347E0	-1.4744E-5	1.2789E-1
-2.418E0	-1.7554E0	-1.5135E-5	1.2804E-1
-2.6762E0	-1.3272E0	-1.5565E-5	1.2818E-1
-2.8593E0	-8.6199E-1	-1.5346E-5	1.2833E-1
-2.9623E0	-3.729E-1	-1.5042E-5	1.2847E-1
-2.9822E0	1.2637E-1	-1.5165E-5	1.2862E-1
-2.9185E0	6.2184E-1	-1.5555E-5	1.2876E-1
-2.7732E0	1.0996E0	-1.5692E-5	1.2891E-1
-2.5503E0	1.5464E0	-1.4403E-5	1.2906E-1
-2.256E0	1.9495E0	-1.3566E-5	1.292E-1
-1.8987E0	2.2979E0	-1.5248E-5	1.2934E-1
-1.4885E0	2.5817E0	-1.6868E-5	1.2949E-1
-1.0367E0	2.7931E0	-1.5329E-5	1.2964E-1
-5.5619E-1	2.9261E0	-1.3831E-5	1.2978E-1
-6.0329E-2	2.9771E0	-1.2572E-5	1.2993E-1
4.3695E-1	2.9446E0	-1.1393E-5	1.3007E-1
9.2173E-1	2.8298E0	-1.223E-5	1.3021E-1
1.3804E0	2.6357E0	-1.3588E-5	1.3036E-1
1.8002E0	2.3679E0	-1.4691E-5	1.305E-1
2.1694E0	2.0339E0	-1.5809E-5	1.3065E-1
2.4776E0	1.6431E0	-1.6518E-5	1.3079E-1
2.7162E0	1.2066E0	-1.5739E-5	1.3094E-1
2.8786E0	7.3642E-1	-1.5495E-5	1.3108E-1
2.9604E0	2.459E-1	-1.5393E-5	1.3123E-1
2.9591E0	-2.5124E-1	-1.5703E-5	1.3137E-1
2.875E0	-7.4108E-1	-1.6781E-5	1.3152E-1
2.7104E0	-1.2099E0	-1.5782E-5	1.3166E-1
2.47E0	-1.6446E0	-1.3917E-5	1.3181E-1
2.1605E0	-2.033E0	-1.2041E-5	1.3195E-1
1.7906E0	-2.3642E0	-1.255E-5	1.321E-1
1.3709E0	-2.6291E0	-1.4533E-5	1.3224E-1
9.129E-1	-2.8201E0	-1.4634E-5	1.3239E-1
4.2962E-1	-2.9321E0	-1.5015E-5	1.3253E-1
-6.5437E-2	-2.9619E0	-1.5423E-5	1.3268E-1
-5.584E-1	-2.9087E0	-1.546E-5	1.3282E-1
-1.0355E0	-2.7741E0	-1.5071E-5	1.3297E-1
-1.4833E0	-2.5619E0	-1.5348E-5	1.3311E-1
-1.8893E0	-2.278E0	-1.7444E-5	1.3325E-1
-2.2422E0	-1.9304E0	-1.9885E-5	1.334E-1
-2.5321E0	-1.529E0	-1.9028E-5	1.3355E-1
-2.7509E0	-1.085E0	-1.6957E-5	1.3369E-1
-2.8925E0	-6.1078E-1	-1.6937E-5	1.3384E-1
-2.9531E0	-1.1974E-1	-1.6794E-5	1.3398E-1
-2.9309E0	3.744E-1	-1.6328E-5	1.3413E-1
-2.8267E0	8.5778E-1	-1.6142E-5	1.3427E-1
-2.6433E0	1.3169E0	-1.6399E-5	1.3442E-1
-2.386E0	1.7389E0	-1.6577E-5	1.3456E-1
-2.062E0	2.1119E0	-1.6802E-5	1.3471E-1
-1.6804E0	2.4256E0	-1.6069E-5	1.3485E-1
-1.252E0	2.6712E0	-1.5691E-5	1.35E-1
-7.8868E-1	2.8418E0	-1.602E-5	1.3514E-1
-3.0355E-1	2.9328E0	-1.7513E-5	1.3529E-1
1.8982E-1	2.9415E0	-1.8036E-5	1.3543E-1
6.776E-1	2.8679E0	-1.6827E-5	1.3558E-1
