jMRUI Data Textfile

Filename: glutamine1.txt

PointsInDataset: 32768     
DatasetsInFile: 1         
SamplingInterval: 3.3333E-2 
ZeroOrderPhase: 0E0       
BeginTime: 0E0       
TransmitterFrequency: 2.9722E8  
MagneticField: 0E0       
TypeOfNucleus: 0E0       
NameOfPatient: 
DateOfExperiment: 
Spectrometer: 
AdditionalInfo: 


Signal and FFT
sig(real)	sig(imag)	fft(real)	fft(imag)
Signal 1 out of 1 in file
5E0	-2.1856E-7	2.5496E-4	1.6568E-1
4.9515E0	-6.5876E-1	2.551E-4	1.6592E-1
4.8097E0	-1.3032E0	2.5508E-4	1.6617E-1
4.5778E0	-1.9197E0	2.5533E-4	1.6641E-1
4.2612E0	-2.4954E0	2.555E-4	1.6665E-1
3.8668E0	-3.018E0	2.5518E-4	1.6689E-1
3.4036E0	-3.477E0	2.5515E-4	1.6713E-1
2.8819E0	-3.8629E0	2.5568E-4	1.6737E-1
2.3133E0	-4.1681E0	2.5581E-4	1.6761E-1
1.7105E0	-4.3868E0	2.5584E-4	1.6785E-1
1.0867E0	-4.5151E0	2.5605E-4	1.6809E-1
4.558E-1	-4.5514E0	2.5629E-4	1.6833E-1
-1.6852E-1	-4.4959E0	2.5621E-4	1.6857E-1
-7.7266E-1	-4.351E0	2.5609E-4	1.6882E-1
-1.3436E0	-4.1213E0	2.5605E-4	1.6906E-1
-1.8693E0	-3.813E0	2.5634E-4	1.693E-1
-2.3386E0	-3.4342E0	2.5626E-4	1.6954E-1
-2.742E0	-2.9945E0	2.5647E-4	1.6978E-1
-3.0714E0	-2.5049E0	2.5722E-4	1.7002E-1
-3.3206E0	-1.9773E0	2.5712E-4	1.7026E-1
-3.4851E0	-1.4245E0	2.5665E-4	1.705E-1
-3.5628E0	-8.5973E-1	2.56E-4	1.7074E-1
-3.5533E0	-2.9635E-1	2.5561E-4	1.7098E-1
-3.4583E0	2.5242E-1	2.5586E-4	1.7122E-1
-3.2815E0	7.7383E-1	2.5619E-4	1.7147E-1
-3.0286E0	1.2559E0	2.5646E-4	1.7171E-1
-2.707E0	1.6877E0	2.5657E-4	1.7195E-1
-2.3254E0	2.0596E0	2.5648E-4	1.7219E-1
-1.8942E0	2.3634E0	2.5614E-4	1.7243E-1
-1.4246E0	2.5927E0	2.5609E-4	1.7267E-1
-9.2889E-1	2.7429E0	2.5644E-4	1.7291E-1
-4.1957E-1	2.8112E0	2.5669E-4	1.7315E-1
9.0462E-2	2.797E0	2.5656E-4	1.7339E-1
5.8845E-1	2.7016E0	2.5679E-4	1.7363E-1
1.062E0	2.528E0	2.5665E-4	1.7387E-1
1.4994E0	2.2813E0	2.5624E-4	1.7411E-1
1.89E0	1.9684E0	2.5629E-4	1.7436E-1
2.2242E0	1.5974E0	2.5668E-4	1.746E-1
2.4939E0	1.1781E0	2.5677E-4	1.7484E-1
2.6926E0	7.2108E-1	2.5703E-4	1.7508E-1
2.8155E0	2.3792E-1	2.5754E-4	1.7532E-1
2.8596E0	-2.5925E-1	2.5746E-4	1.7556E-1
2.8239E0	-7.5808E-1	2.5689E-4	1.758E-1
2.7093E0	-1.2462E0	2.5665E-4	1.7604E-1
2.5186E0	-1.7117E0	2.5659E-4	1.7628E-1
2.2562E0	-2.1431E0	2.5626E-4	1.7652E-1
1.9284E0	-2.5298E0	2.563E-4	1.7677E-1
1.5429E0	-2.8624E0	2.5681E-4	1.7701E-1
1.1088E0	-3.1329E0	2.5706E-4	1.7725E-1
6.361E-1	-3.3346E0	2.571E-4	1.7749E-1
1.359E-1	-3.4626E0	2.5742E-4	1.7773E-1
-3.8026E-1	-3.5136E0	2.5782E-4	1.7797E-1
-9.005E-1	-3.4863E0	2.5736E-4	1.7821E-1
-1.4129E0	-3.3811E0	2.5695E-4	1.7845E-1
-1.9059E0	-3.2002E0	2.5684E-4	1.7869E-1
-2.3683E0	-2.9476E0	2.5692E-4	1.7893E-1
-2.7897E0	-2.6288E0	2.5729E-4	1.7918E-1
-3.1609E0	-2.251E0	2.5814E-4	1.7942E-1
-3.4737E0	-1.8224E0	2.5845E-4	1.7966E-1
-3.7214E0	-1.3526E0	2.5802E-4	1.799E-1
-3.8988E0	-8.5168E-1	2.5742E-4	1.8014E-1
-4.0024E0	-3.3071E-1	2.5704E-4	1.8038E-1
-4.0304E0	1.9913E-1	2.5677E-4	1.8062E-1
-3.9826E0	7.2651E-1	2.57E-4	1.8086E-1
-3.8607E0	1.2403E0	2.5769E-4	1.811E-1
-3.6679E0	1.7298E0	2.5779E-4	1.8134E-1
-3.409E0	2.1849E0	2.5767E-4	1.8158E-1
-3.0902E0	2.5967E0	2.5757E-4	1.8183E-1
-2.7189E0	2.957E0	2.572E-4	1.8207E-1
-2.3038E0	3.2591E0	2.5684E-4	1.8231E-1
-1.8541E0	3.4978E0	2.5674E-4	1.8255E-1
-1.3799E0	3.6693E0	2.5687E-4	1.8279E-1
-8.9142E-1	3.7712E0	2.5708E-4	1.8303E-1
-3.9926E-1	3.803E0	2.5718E-4	1.8327E-1
8.627E-2	3.7657E0	2.5718E-4	1.8351E-1
5.5518E-1	3.6616E0	2.5688E-4	1.8375E-1
9.9806E-1	3.4949E0	2.5658E-4	1.8399E-1
1.4063E0	3.2707E0	2.5616E-4	1.8424E-1
1.7723E0	2.9955E0	2.5615E-4	1.8448E-1
2.0896E0	2.6768E0	2.5698E-4	1.8472E-1
2.353E0	2.3228E0	2.5727E-4	1.8496E-1
2.5586E0	1.9425E0	2.5712E-4	1.852E-1
2.7041E0	1.5449E0	2.5678E-4	1.8544E-1
2.7884E0	1.1396E0	2.5593E-4	1.8568E-1
2.8121E0	7.3583E-1	2.5524E-4	1.8592E-1
2.7772E0	3.4256E-1	2.5582E-4	1.8617E-1
2.6867E0	-3.1701E-2	2.5675E-4	1.8641E-1
2.5452E0	-3.7916E-1	2.5704E-4	1.8665E-1
2.3581E0	-6.9289E-1	2.5677E-4	1.8689E-1
2.1319E0	-9.6701E-1	2.564E-4	1.8713E-1
1.8737E0	-1.1967E0	2.5543E-4	1.8737E-1
1.5913E0	-1.3785E0	2.5483E-4	1.8761E-1
1.2927E0	-1.5101E0	2.553E-4	1.8785E-1
9.8614E-1	-1.5905E0	2.5577E-4	1.8809E-1
6.7973E-1	-1.6201E0	2.5626E-4	1.8834E-1
3.8135E-1	-1.6004E0	2.569E-4	1.8858E-1
9.8408E-2	-1.5342E0	2.567E-4	1.8882E-1
-1.623E-1	-1.4253E0	2.5648E-4	1.8906E-1
-3.9475E-1	-1.2784E0	2.5609E-4	1.893E-1
-5.9384E-1	-1.0993E0	2.5545E-4	1.8954E-1
-7.5546E-1	-8.9403E-1	2.5521E-4	1.8978E-1
-8.766E-1	-6.6939E-1	2.5583E-4	1.9002E-1
-9.5536E-1	-4.3237E-1	2.5647E-4	1.9027E-1
-9.91E-1	-1.9008E-1	2.5702E-4	1.9051E-1
-9.8393E-1	5.0448E-2	2.5773E-4	1.9075E-1
-9.3563E-1	2.8243E-1	2.5796E-4	1.9099E-1
-8.4862E-1	4.9952E-1	2.5767E-4	1.9123E-1
-7.2635E-1	6.959E-1	2.5716E-4	1.9147E-1
-5.7309E-1	8.6649E-1	2.5702E-4	1.9171E-1
-3.938E-1	1.007E0	2.5665E-4	1.9195E-1
-1.9397E-1	1.114E0	2.5689E-4	1.9219E-1
2.0509E-2	1.1852E0	2.5756E-4	1.9244E-1
2.4353E-1	1.219E0	2.5808E-4	1.9268E-1
4.6893E-1	1.2152E0	2.5813E-4	1.9292E-1
6.9064E-1	1.1741E0	2.5794E-4	1.9316E-1
9.0285E-1	1.0973E0	2.5786E-4	1.934E-1
1.1002E0	9.8726E-1	2.5789E-4	1.9364E-1
1.2777E0	8.4708E-1	2.5767E-4	1.9388E-1
1.4311E0	6.8062E-1	2.5764E-4	1.9412E-1
1.5571E0	4.923E-1	2.5752E-4	1.9436E-1
1.6527E0	2.8696E-1	2.5714E-4	1.9461E-1
1.7162E0	6.9734E-2	2.5691E-4	1.9485E-1
1.7466E0	-1.541E-1	2.5704E-4	1.9509E-1
1.7436E0	-3.7927E-1	2.5723E-4	1.9533E-1
1.7081E0	-6.0062E-1	2.5743E-4	1.9557E-1
1.6415E0	-8.1328E-1	2.5755E-4	1.9581E-1
1.5459E0	-1.0128E0	2.5728E-4	1.9605E-1
1.4243E0	-1.1951E0	2.5721E-4	1.9629E-1
1.2801E0	-1.3568E0	2.5714E-4	1.9654E-1
1.117E0	-1.4952E0	2.5714E-4	1.9678E-1
9.3922E-1	-1.6082E0	2.57E-4	1.9702E-1
7.5108E-1	-1.6944E0	2.5682E-4	1.9726E-1
5.5695E-1	-1.7533E0	2.5705E-4	1.975E-1
3.6113E-1	-1.7851E0	2.5744E-4	1.9774E-1
1.6776E-1	-1.7904E0	2.5771E-4	1.9798E-1
-1.9325E-2	-1.7709E0	2.5819E-4	1.9823E-1
-1.9666E-1	-1.7285E0	2.585E-4	1.9847E-1
-3.6127E-1	-1.6657E0	2.5856E-4	1.9871E-1
-5.107E-1	-1.5854E0	2.5829E-4	1.9895E-1
-6.4307E-1	-1.4908E0	2.5814E-4	1.9919E-1
-7.5713E-1	-1.3852E0	2.5845E-4	1.9943E-1
-8.5223E-1	-1.2721E0	2.5878E-4	1.9967E-1
-9.2835E-1	-1.1548E0	2.5933E-4	1.9991E-1
-9.8602E-1	-1.0366E0	2.598E-4	2.0015E-1
-1.0263E0	-9.2046E-1	2.5964E-4	2.0039E-1
-1.0508E0	-8.0897E-1	2.5936E-4	2.0064E-1
-1.0614E0	-7.0441E-1	2.5903E-4	2.0088E-1
-1.0605E0	-6.0856E-1	2.5845E-4	2.0112E-1
-1.0504E0	-5.2271E-1	2.5841E-4	2.0136E-1
-1.0338E0	-4.4761E-1	2.59E-4	2.016E-1
-1.0133E0	-3.8351E-1	2.5948E-4	2.0184E-1
-9.9151E-1	-3.301E-1	2.5968E-4	2.0208E-1
-9.7074E-1	-2.866E-1	2.5989E-4	2.0232E-1
-9.5314E-1	-2.518E-1	2.5929E-4	2.0256E-1
-9.405E-1	-2.2409E-1	2.581E-4	2.0281E-1
-9.3421E-1	-2.0157E-1	2.5748E-4	2.0305E-1
-9.3523E-1	-1.8207E-1	2.5735E-4	2.0329E-1
-9.4402E-1	-1.6334E-1	2.5782E-4	2.0353E-1
-9.6056E-1	-1.4303E-1	2.5848E-4	2.0377E-1
-9.8435E-1	-1.1889E-1	2.5882E-4	2.0401E-1
-1.0144E0	-8.8777E-2	2.5793E-4	2.0425E-1
-1.0492E0	-5.0806E-2	2.5679E-4	2.0449E-1
-1.0871E0	-3.3954E-3	2.5618E-4	2.0474E-1
-1.1258E0	5.4649E-2	2.5547E-4	2.0498E-1
-1.1629E0	1.2408E-1	2.5518E-4	2.0522E-1
-1.196E0	2.0515E-1	2.5535E-4	2.0546E-1
-1.2223E0	2.9763E-1	2.559E-4	2.057E-1
-1.2394E0	4.0074E-1	2.5619E-4	2.0594E-1
-1.2446E0	5.1319E-1	2.5576E-4	2.0618E-1
-1.2359E0	6.3321E-1	2.5474E-4	2.0643E-1
-1.2112E0	7.5856E-1	2.5392E-4	2.0667E-1
-1.1691E0	8.8665E-1	2.5339E-4	2.0691E-1
-1.1084E0	1.0145E0	2.5357E-4	2.0715E-1
-1.0286E0	1.139E0	2.5462E-4	2.074E-1
-9.2976E-1	1.2569E0	2.5558E-4	2.0764E-1
-8.1248E-1	1.3648E0	2.5526E-4	2.0788E-1
-6.7796E-1	1.4594E0	2.5446E-4	2.0812E-1
-5.2801E-1	1.5376E0	2.5423E-4	2.0836E-1
-3.65E-1	1.5968E0	2.5405E-4	2.086E-1
-1.9178E-1	1.6343E0	2.5446E-4	2.0884E-1
-1.1673E-2	1.6484E0	2.551E-4	2.0909E-1
1.7165E-1	1.6376E0	2.5573E-4	2.0933E-1
3.5426E-1	1.601E0	2.56E-4	2.0957E-1
5.3203E-1	1.5387E0	2.5574E-4	2.0981E-1
7.0083E-1	1.4511E0	2.5547E-4	2.1005E-1
8.5658E-1	1.3395E0	2.5532E-4	2.1029E-1
9.9537E-1	1.206E0	2.55E-4	2.1054E-1
1.1136E0	1.053E0	2.5539E-4	2.1078E-1
1.2082E0	8.8388E-1	2.5653E-4	2.1102E-1
1.2764E0	7.0238E-1	2.5701E-4	2.1126E-1
1.3163E0	5.1271E-1	2.5701E-4	2.115E-1
1.3265E0	3.1945E-1	2.5673E-4	2.1174E-1
1.3064E0	1.274E-1	2.566E-4	2.1198E-1
1.2562E0	-5.8525E-2	2.5666E-4	2.1223E-1
1.1771E0	-2.3343E-1	2.5697E-4	2.1247E-1
1.0708E0	-3.9259E-1	2.5758E-4	2.1271E-1
9.399E-1	-5.3157E-1	2.5837E-4	2.1295E-1
7.8782E-1	-6.4636E-1	2.5919E-4	2.1319E-1
6.1857E-1	-7.335E-1	2.5958E-4	2.1343E-1
4.3675E-1	-7.9017E-1	2.5951E-4	2.1367E-1
2.4741E-1	-8.1433E-1	2.5921E-4	2.1392E-1
5.5987E-2	-8.0475E-1	2.5916E-4	2.1416E-1
-1.3191E-1	-7.611E-1	2.5909E-4	2.144E-1
-3.1061E-1	-6.8396E-1	2.5926E-4	2.1464E-1
-4.745E-1	-5.7484E-1	2.5996E-4	2.1488E-1
-6.1823E-1	-4.3619E-1	2.609E-4	2.1512E-1
-7.3685E-1	-2.7132E-1	2.6103E-4	2.1536E-1
-8.2591E-1	-8.4362E-2	2.6098E-4	2.1561E-1
-8.8166E-1	1.1983E-1	2.6099E-4	2.1585E-1
-9.0113E-1	3.3577E-1	2.6091E-4	2.1609E-1
-8.8222E-1	5.5749E-1	2.6013E-4	2.1633E-1
-8.238E-1	7.7867E-1	2.5958E-4	2.1657E-1
-7.2577E-1	9.9278E-1	2.5937E-4	2.1681E-1
-5.8909E-1	1.1933E0	2.5905E-4	2.1705E-1
-4.1576E-1	1.3738E0	2.5942E-4	2.173E-1
-2.0883E-1	1.5282E0	2.6021E-4	2.1754E-1
2.7676E-2	1.6508E0	2.6017E-4	2.1778E-1
2.8883E-1	1.7368E0	2.5985E-4	2.1802E-1
5.6888E-1	1.7819E0	2.5934E-4	2.1826E-1
8.614E-1	1.7827E0	2.5862E-4	2.185E-1
1.1595E0	1.7371E0	2.58E-4	2.1874E-1
1.4557E0	1.6439E0	2.577E-4	2.1898E-1
1.7426E0	1.503E0	2.5743E-4	2.1923E-1
2.0127E0	1.3155E0	2.5738E-4	2.1947E-1
2.2585E0	1.084E0	2.5766E-4	2.1971E-1
2.473E0	8.1179E-1	2.5794E-4	2.1995E-1
2.6499E0	5.0361E-1	2.5794E-4	2.2019E-1
2.7833E0	1.6507E-1	2.5767E-4	2.2043E-1
2.8684E0	-1.9731E-1	2.5702E-4	2.2068E-1
2.9014E0	-5.7623E-1	2.5656E-4	2.2092E-1
2.8795E0	-9.638E-1	2.565E-4	2.2116E-1
2.8012E0	-1.3517E0	2.5647E-4	2.214E-1
2.6664E0	-1.7314E0	2.5664E-4	2.2164E-1
2.4762E0	-2.0944E0	2.5712E-4	2.2189E-1
2.2329E0	-2.4322E0	2.5714E-4	2.2213E-1
1.9404E0	-2.7369E0	2.568E-4	2.2237E-1
1.6035E0	-3.0011E0	2.5623E-4	2.2261E-1
1.2284E0	-3.2181E0	2.5606E-4	2.2285E-1
8.2204E-1	-3.3823E0	2.5666E-4	2.2309E-1
3.9243E-1	-3.4891E0	2.5722E-4	2.2334E-1
-5.1841E-2	-3.535E0	2.5749E-4	2.2358E-1
-5.0169E-1	-3.5182E0	2.5739E-4	2.2382E-1
-9.4775E-1	-3.4379E0	2.5688E-4	2.2406E-1
-1.3806E0	-3.2949E0	2.562E-4	2.243E-1
-1.791E0	-3.0915E0	2.5593E-4	2.2454E-1
-2.17E0	-2.8313E0	2.5672E-4	2.2479E-1
-2.5093E0	-2.5193E0	2.5763E-4	2.2503E-1
-2.8016E0	-2.1617E0	2.583E-4	2.2527E-1
-3.0402E0	-1.7657E0	2.5862E-4	2.2551E-1
-3.2199E0	-1.3397E0	2.5854E-4	2.2575E-1
-3.3366E0	-8.9273E-1	2.5785E-4	2.2599E-1
-3.3876E0	-4.3427E-1	2.5735E-4	2.2624E-1
-3.3718E0	2.5704E-2	2.574E-4	2.2648E-1
-3.2896E0	4.7717E-1	2.5773E-4	2.2672E-1
-3.1428E0	9.1023E-1	2.5801E-4	2.2696E-1
-2.9348E0	1.3153E0	2.5845E-4	2.272E-1
-2.6704E0	1.6835E0	2.5866E-4	2.2744E-1
-2.3557E0	2.0067E0	2.5864E-4	2.2769E-1
-1.9982E0	2.2776E0	2.5874E-4	2.2793E-1
-1.6061E0	2.4904E0	2.5889E-4	2.2817E-1
-1.1888E0	2.6404E0	2.5846E-4	2.2841E-1
-7.5599E-1	2.7244E0	2.5783E-4	2.2865E-1
-3.1799E-1	2.7408E0	2.5725E-4	2.2889E-1
1.1478E-1	2.6895E0	2.5672E-4	2.2913E-1
5.3201E-1	2.5722E0	2.5678E-4	2.2938E-1
9.2368E-1	2.3919E0	2.5712E-4	2.2962E-1
1.2804E0	2.1532E0	2.5715E-4	2.2986E-1
1.5934E0	1.8623E0	2.5702E-4	2.301E-1
1.8552E0	1.5263E0	2.5681E-4	2.3034E-1
2.0593E0	1.1539E0	2.5595E-4	2.3058E-1
2.2007E0	7.542E-1	2.5511E-4	2.3083E-1
2.2757E0	3.3738E-1	2.5457E-4	2.3107E-1
2.2824E0	-8.6077E-2	2.5439E-4	2.3131E-1
2.2203E0	-5.0545E-1	2.5464E-4	2.3155E-1
2.0909E0	-9.1006E-1	2.5517E-4	2.318E-1
1.8969E0	-1.2895E0	2.5525E-4	2.3204E-1
1.643E0	-1.634E0	2.549E-4	2.3228E-1
1.3351E0	-1.9343E0	2.5497E-4	2.3252E-1
9.8047E-1	-2.1826E0	2.5486E-4	2.3276E-1
5.8772E-1	-2.3719E0	2.5425E-4	2.33E-1
1.6632E-1	-2.4967E0	2.5447E-4	2.3325E-1
-2.7347E-1	-2.553E0	2.5465E-4	2.3349E-1
-7.2087E-1	-2.5386E0	2.5494E-4	2.3373E-1
-1.1648E0	-2.4526E0	2.5525E-4	2.3397E-1
-1.5943E0	-2.2962E0	2.5539E-4	2.3422E-1
-1.9984E0	-2.072E0	2.5507E-4	2.3446E-1
-2.3669E0	-1.7845E0	2.5491E-4	2.347E-1
-2.6903E0	-1.4395E0	2.5509E-4	2.3494E-1
-2.9599E0	-1.0443E0	2.5506E-4	2.3518E-1
-3.1684E0	-6.0743E-1	2.5512E-4	2.3542E-1
-3.3098E0	-1.386E-1	2.5529E-4	2.3567E-1
-3.3797E0	3.5177E-1	2.553E-4	2.3591E-1
-3.3752E0	8.5266E-1	2.5488E-4	2.3615E-1
-3.2952E0	1.3527E0	2.5487E-4	2.3639E-1
-3.1402E0	1.8404E0	2.5524E-4	2.3664E-1
-2.9127E0	2.3046E0	2.5594E-4	2.3688E-1
-2.6168E0	2.7344E0	2.5641E-4	2.3712E-1
-2.2579E0	3.1197E0	2.5689E-4	2.3736E-1
-1.8433E0	3.4516E0	2.5691E-4	2.376E-1
-1.3814E0	3.7219E0	2.562E-4	2.3784E-1
-8.8178E-1	3.9241E0	2.5579E-4	2.3809E-1
-3.5487E-1	4.053E0	2.5623E-4	2.3833E-1
1.8817E-1	4.1054E0	2.5696E-4	2.3857E-1
7.3579E-1	4.0792E0	2.5747E-4	2.3881E-1
1.2763E0	3.9747E0	2.5764E-4	2.3905E-1
1.7982E0	3.7936E0	2.578E-4	2.393E-1
2.2902E0	3.5393E0	2.5778E-4	2.3954E-1
2.7419E0	3.2171E0	2.5743E-4	2.3978E-1
3.1436E0	2.8336E0	2.5746E-4	2.4002E-1
3.4869E0	2.3969E0	2.5753E-4	2.4026E-1
