jMRUI Data Textfile

Filename: NAA.txt

PointsInDataset: 32768     
DatasetsInFile: 1         
SamplingInterval: 3.3333E-2 
ZeroOrderPhase: 0E0       
BeginTime: 0E0       
TransmitterFrequency: 2.9722E8  
MagneticField: 0E0       
TypeOfNucleus: 0E0       
NameOfPatient: 
DateOfExperiment: 
Spectrometer: 
AdditionalInfo: 


Signal and FFT
sig(real)	sig(imag)	fft(real)	fft(imag)
Signal 1 out of 1 in file
5.2118E+04	-3.1657E+02	2.5761E+04	3.5551E+03
5.1462E+04	-1.4161E+04	2.5761E+04	3.5576E+03
4.7405E+04	-2.5858E+04	2.5761E+04	3.5602E+03
4.0549E+04	-3.5378E+04	2.5761E+04	3.5627E+03
3.1497E+04	-4.2688E+04	2.5761E+04	3.5653E+03
2.0851E+04	-4.7758E+04	2.5761E+04	3.5678E+03
9.2149E+03	-5.0557E+04	2.5761E+04	3.5704E+03
-2.8088E+03	-5.1053E+04	2.5761E+04	3.5729E+03
-1.4617E+04	-4.9215E+04	2.5761E+04	3.5754E+03
-2.5608E+04	-4.5014E+04	2.5761E+04	3.5780E+03
-3.5178E+04	-3.8416E+04	2.5761E+04	3.5805E+03
-4.2794E+04	-2.9512E+04	2.5761E+04	3.5831E+03
-4.8203E+04	-1.8872E+04	2.5761E+04	3.5856E+03
-5.1221E+04	-7.1868E+03	2.5761E+04	3.5881E+03
-5.1663E+04	4.8528E+03	2.5761E+04	3.5907E+03
-4.9347E+04	1.6556E+04	2.5761E+04	3.5932E+03
-4.4208E+04	2.7279E+04	2.5761E+04	3.5958E+03
-3.6659E+04	3.6569E+04	2.5761E+04	3.5983E+03
-2.7233E+04	4.4018E+04	2.5761E+04	3.6009E+03
-1.6463E+04	4.9220E+04	2.5761E+04	3.6034E+03
-4.8819E+03	5.1768E+04	2.5761E+04	3.6059E+03
6.9670E+03	5.1375E+04	2.5761E+04	3.6085E+03
1.8501E+04	4.8234E+04	2.5761E+04	3.6110E+03
2.9126E+04	4.2655E+04	2.5761E+04	3.6136E+03
3.8249E+04	3.4949E+04	2.5761E+04	3.6161E+03
4.5277E+04	2.5429E+04	2.5761E+04	3.6187E+03
4.9723E+04	1.4465E+04	2.5761E+04	3.6212E+03
5.1527E+04	2.6681E+03	2.5761E+04	3.6237E+03
5.0734E+04	-9.2915E+03	2.5761E+04	3.6263E+03
4.7391E+04	-2.0743E+04	2.5761E+04	3.6288E+03
4.1544E+04	-3.1017E+04	2.5761E+04	3.6314E+03
3.3336E+04	-3.9516E+04	2.5761E+04	3.6339E+03
2.3300E+04	-4.5938E+04	2.5761E+04	3.6365E+03
1.2067E+04	-5.0054E+04	2.5761E+04	3.6390E+03
2.6532E+02	-5.1637E+04	2.5761E+04	3.6416E+03
-1.1474E+04	-5.0459E+04	2.5761E+04	3.6441E+03
-2.2549E+04	-4.6409E+04	2.5761E+04	3.6466E+03
-3.2468E+04	-3.9852E+04	2.5761E+04	3.6492E+03
-4.0770E+04	-3.1269E+04	2.5761E+04	3.6517E+03
-4.6989E+04	-2.1145E+04	2.5761E+04	3.6543E+03
-5.0664E+04	-9.9602E+03	2.5761E+04	3.6568E+03
-5.1451E+04	1.7789E+03	2.5761E+04	3.6594E+03
-4.9483E+04	1.3478E+04	2.5761E+04	3.6619E+03
-4.5013E+04	2.4519E+04	2.5761E+04	3.6645E+03
-3.8296E+04	3.4286E+04	2.5761E+04	3.6670E+03
-2.9583E+04	4.2161E+04	2.5761E+04	3.6696E+03
-1.9197E+04	4.7626E+04	2.5761E+04	3.6721E+03
-7.7347E+03	5.0564E+04	2.5761E+04	3.6747E+03
4.1393E+03	5.0954E+04	2.5761E+04	3.6772E+03
1.5760E+04	4.8780E+04	2.5761E+04	3.6798E+03
2.6461E+04	4.4022E+04	2.5761E+04	3.6823E+03
3.5642E+04	3.6765E+04	2.5761E+04	3.6849E+03
4.2953E+04	2.7504E+04	2.5761E+04	3.6874E+03
4.8109E+04	1.6839E+04	2.5761E+04	3.6899E+03
5.0824E+04	5.3689E+03	2.5761E+04	3.6925E+03
5.0814E+04	-6.3076E+03	2.5761E+04	3.6950E+03
4.7911E+04	-1.7608E+04	2.5762E+04	3.6976E+03
4.2428E+04	-2.8013E+04	2.5762E+04	3.7001E+03
3.4794E+04	-3.7021E+04	2.5762E+04	3.7027E+03
2.5441E+04	-4.4131E+04	2.5762E+04	3.7052E+03
1.4799E+04	-4.8840E+04	2.5762E+04	3.7078E+03
3.3321E+03	-5.0762E+04	2.5762E+04	3.7103E+03
-8.3620E+03	-4.9970E+04	2.5762E+04	3.7129E+03
-1.9652E+04	-4.6656E+04	2.5762E+04	3.7154E+03
-2.9907E+04	-4.1009E+04	2.5762E+04	3.7180E+03
-3.8495E+04	-3.3218E+04	2.5762E+04	3.7205E+03
-4.4877E+04	-2.3551E+04	2.5762E+04	3.7231E+03
-4.8880E+04	-1.2582E+04	2.5762E+04	3.7256E+03
-5.0423E+04	-9.6217E+02	2.5762E+04	3.7282E+03
-4.9422E+04	1.0657E+04	2.5762E+04	3.7307E+03
-4.5797E+04	2.1623E+04	2.5762E+04	3.7333E+03
-3.9573E+04	3.1338E+04	2.5762E+04	3.7358E+03
-3.1203E+04	3.9412E+04	2.5762E+04	3.7384E+03
-2.1247E+04	4.5508E+04	2.5762E+04	3.7409E+03
-1.0266E+04	4.9289E+04	2.5762E+04	3.7435E+03
1.1800E+03	5.0417E+04	2.5762E+04	3.7460E+03
1.2535E+04	4.8674E+04	2.5762E+04	3.7486E+03
2.3263E+04	4.4315E+04	2.5762E+04	3.7511E+03
3.2829E+04	3.7715E+04	2.5762E+04	3.7537E+03
4.0702E+04	2.9248E+04	2.5762E+04	3.7562E+03
4.6349E+04	1.9287E+04	2.5762E+04	3.7588E+03
4.9346E+04	8.2507E+03	2.5762E+04	3.7613E+03
4.9710E+04	-3.2691E+03	2.5762E+04	3.7639E+03
4.7566E+04	-1.4637E+04	2.5762E+04	3.7664E+03
4.3039E+04	-2.5217E+04	2.5762E+04	3.7690E+03
3.6256E+04	-3.4373E+04	2.5762E+04	3.7715E+03
2.7426E+04	-4.1553E+04	2.5762E+04	3.7741E+03
1.7094E+04	-4.6531E+04	2.5762E+04	3.7766E+03
5.8888E+03	-4.9167E+04	2.5762E+04	3.7792E+03
-5.5601E+03	-4.9318E+04	2.5762E+04	3.7817E+03
-1.6624E+04	-4.6843E+04	2.5762E+04	3.7843E+03
-2.6715E+04	-4.1709E+04	2.5762E+04	3.7868E+03
-3.5409E+04	-3.4321E+04	2.5762E+04	3.7894E+03
-4.2325E+04	-2.5195E+04	2.5762E+04	3.7919E+03
-4.7080E+04	-1.4846E+04	2.5762E+04	3.7945E+03
-4.9291E+04	-3.7880E+03	2.5762E+04	3.7970E+03
-4.8693E+04	7.4566E+03	2.5762E+04	3.7996E+03
-4.5483E+04	1.8340E+04	2.5762E+04	3.8021E+03
-3.9976E+04	2.8306E+04	2.5762E+04	3.8047E+03
-3.2485E+04	3.6801E+04	2.5762E+04	3.8072E+03
-2.3326E+04	4.3269E+04	2.5762E+04	3.8098E+03
-1.2865E+04	4.7258E+04	2.5762E+04	3.8123E+03
-1.6801E+03	4.8728E+04	2.5762E+04	3.8149E+03
9.5972E+03	4.7740E+04	2.5762E+04	3.8174E+03
2.0336E+04	4.4357E+04	2.5762E+04	3.8200E+03
2.9905E+04	3.8641E+04	2.5762E+04	3.8225E+03
3.7746E+04	3.0744E+04	2.5762E+04	3.8251E+03
4.3588E+04	2.1174E+04	2.5762E+04	3.8276E+03
4.7235E+04	1.0530E+04	2.5762E+04	3.8302E+03
4.8489E+04	-5.8909E+02	2.5762E+04	3.8327E+03
4.7152E+04	-1.1585E+04	2.5762E+04	3.8353E+03
4.3137E+04	-2.1889E+04	2.5762E+04	3.8378E+03
3.6799E+04	-3.1051E+04	2.5762E+04	3.8404E+03
2.8601E+04	-3.8651E+04	2.5762E+04	3.8429E+03
1.9008E+04	-4.4269E+04	2.5762E+04	3.8455E+03
8.4840E+03	-4.7484E+04	2.5762E+04	3.8481E+03
-2.4897E+03	-4.7989E+04	2.5762E+04	3.8506E+03
-1.3362E+04	-4.5923E+04	2.5762E+04	3.8532E+03
-2.3564E+04	-4.1540E+04	2.5762E+04	3.8557E+03
-3.2528E+04	-3.5092E+04	2.5762E+04	3.8583E+03
-3.9685E+04	-2.6832E+04	2.5762E+04	3.8608E+03
-4.4562E+04	-1.7073E+04	2.5762E+04	3.8634E+03
-4.7064E+04	-6.3724E+03	2.5762E+04	3.8659E+03
-4.7193E+04	4.6528E+03	2.5762E+04	3.8685E+03
-4.4950E+04	1.5385E+04	2.5762E+04	3.8710E+03
-4.0334E+04	2.5206E+04	2.5763E+04	3.8736E+03
-3.3441E+04	3.3560E+04	2.5763E+04	3.8761E+03
-2.4737E+04	4.0139E+04	2.5763E+04	3.8787E+03
-1.4784E+04	4.4694E+04	2.5763E+04	3.8813E+03
-4.1427E+03	4.6977E+04	2.5763E+04	3.8838E+03
6.6262E+03	4.6742E+04	2.5763E+04	3.8864E+03
1.6980E+04	4.3850E+04	2.5763E+04	3.8889E+03
2.6451E+04	3.8600E+04	2.5763E+04	3.8915E+03
3.4588E+04	3.1404E+04	2.5763E+04	3.8940E+03
4.0941E+04	2.2669E+04	2.5763E+04	3.8966E+03
4.5060E+04	1.2806E+04	2.5763E+04	3.8992E+03
4.6602E+04	2.2512E+03	2.5763E+04	3.9017E+03
4.5651E+04	-8.4497E+03	2.5763E+04	3.9043E+03
4.2397E+04	-1.8724E+04	2.5763E+04	3.9068E+03
3.7031E+04	-2.7999E+04	2.5763E+04	3.9094E+03
2.9744E+04	-3.5701E+04	2.5763E+04	3.9120E+03
2.0794E+04	-4.1344E+04	2.5763E+04	3.9145E+03
1.0709E+04	-4.4785E+04	2.5763E+04	3.9171E+03
8.5150E+01	-4.5967E+04	2.5763E+04	3.9196E+03
-1.0481E+04	-4.4832E+04	2.5763E+04	3.9222E+03
-2.0394E+04	-4.1323E+04	2.5763E+04	3.9247E+03
-2.9108E+04	-3.5479E+04	2.5763E+04	3.9273E+03
-3.6282E+04	-2.7721E+04	2.5763E+04	3.9299E+03
-4.1624E+04	-1.8567E+04	2.5763E+04	3.9324E+03
-4.4843E+04	-8.5343E+03	2.5763E+04	3.9350E+03
-4.5648E+04	1.8601E+03	2.5763E+04	3.9375E+03
-4.3855E+04	1.2106E+04	2.5763E+04	3.9401E+03
-3.9708E+04	2.1725E+04	2.5763E+04	3.9427E+03
-3.3560E+04	3.0245E+04	2.5763E+04	3.9452E+03
-2.5763E+04	3.7194E+04	2.5763E+04	3.9478E+03
-1.6669E+04	4.2100E+04	2.5763E+04	3.9503E+03
-6.6658E+03	4.4593E+04	2.5763E+04	3.9529E+03
3.7139E+03	4.4701E+04	2.5763E+04	3.9555E+03
1.3901E+04	4.2555E+04	2.5763E+04	3.9580E+03
2.3328E+04	3.8284E+04	2.5763E+04	3.9606E+03
3.1426E+04	3.2018E+04	2.5763E+04	3.9632E+03
3.7702E+04	2.3960E+04	2.5763E+04	3.9657E+03
4.1970E+04	1.4603E+04	2.5763E+04	3.9683E+03
4.4118E+04	4.5150E+03	2.5763E+04	3.9708E+03
4.4037E+04	-5.7370E+03	2.5763E+04	3.9734E+03
4.1616E+04	-1.5586E+04	2.5763E+04	3.9760E+03
3.6840E+04	-2.4505E+04	2.5763E+04	3.9785E+03
3.0083E+04	-3.2126E+04	2.5763E+04	3.9811E+03
2.1813E+04	-3.8122E+04	2.5763E+04	3.9836E+03
1.2499E+04	-4.2165E+04	2.5763E+04	3.9862E+03
2.6113E+03	-4.3928E+04	2.5763E+04	3.9888E+03
-7.3792E+03	-4.3186E+04	2.5763E+04	3.9913E+03
-1.6990E+04	-4.0129E+04	2.5763E+04	3.9939E+03
-2.5737E+04	-3.5051E+04	2.5763E+04	3.9964E+03
-3.3135E+04	-2.8245E+04	2.5763E+04	3.9990E+03
-3.8699E+04	-2.0004E+04	2.5763E+04	4.0016E+03
-4.2037E+04	-1.0666E+04	2.5763E+04	4.0041E+03
-4.3129E+04	-7.4276E+02	2.5763E+04	4.0067E+03
-4.2044E+04	9.2091E+03	2.5763E+04	4.0092E+03
-3.8855E+04	1.8633E+04	2.5763E+04	4.0118E+03
-3.3632E+04	2.6974E+04	2.5763E+04	4.0144E+03
-2.6524E+04	3.3741E+04	2.5763E+04	4.0169E+03
-1.7985E+04	3.8709E+04	2.5763E+04	4.0195E+03
-8.5484E+03	4.1721E+04	2.5763E+04	4.0220E+03
1.2554E+03	4.2617E+04	2.5763E+04	4.0246E+03
1.0894E+04	4.1240E+04	2.5763E+04	4.0272E+03
1.9865E+04	3.7526E+04	2.5763E+04	4.0297E+03
2.7783E+04	3.1798E+04	2.5763E+04	4.0323E+03
3.4291E+04	2.4472E+04	2.5763E+04	4.0348E+03
3.9033E+04	1.5967E+04	2.5763E+04	4.0374E+03
4.1653E+04	6.6995E+03	2.5763E+04	4.0400E+03
4.1893E+04	-2.9006E+03	2.5763E+04	4.0425E+03
3.9889E+04	-1.2356E+04	2.5763E+04	4.0451E+03
3.5876E+04	-2.1177E+04	2.5763E+04	4.0477E+03
3.0089E+04	-2.8874E+04	2.5763E+04	4.0502E+03
2.2763E+04	-3.4958E+04	2.5763E+04	4.0528E+03
1.4182E+04	-3.9024E+04	2.5763E+04	4.0553E+03
4.8339E+03	-4.1003E+04	2.5763E+04	4.0579E+03
-4.7464E+03	-4.0912E+04	2.5763E+04	4.0605E+03
-1.4022E+04	-3.8768E+04	2.5763E+04	4.0630E+03
-2.2456E+04	-3.4586E+04	2.5764E+04	4.0656E+03
-2.9569E+04	-2.8462E+04	2.5764E+04	4.0682E+03
-3.5103E+04	-2.0809E+04	2.5764E+04	4.0707E+03
-3.8861E+04	-1.2116E+04	2.5764E+04	4.0733E+03
-4.0640E+04	-2.8772E+03	2.5764E+04	4.0759E+03
-4.0242E+04	6.4179E+03	2.5764E+04	4.0784E+03
-3.7560E+04	1.5296E+04	2.5764E+04	4.0810E+03
-3.2864E+04	2.3362E+04	2.5764E+04	4.0836E+03
-2.6519E+04	3.0238E+04	2.5764E+04	4.0861E+03
-1.8887E+04	3.5546E+04	2.5764E+04	4.0887E+03
-1.0333E+04	3.8910E+04	2.5764E+04	4.0913E+03
-1.2412E+03	4.0044E+04	2.5764E+04	4.0938E+03
7.9227E+03	3.9034E+04	2.5764E+04	4.0964E+03
1.6672E+04	3.6058E+04	2.5764E+04	4.0990E+03
2.4522E+04	3.1293E+04	2.5764E+04	4.1015E+03
3.0984E+04	2.4917E+04	2.5764E+04	4.1041E+03
3.5649E+04	1.7163E+04	2.5764E+04	4.1066E+03
3.8407E+04	8.4866E+03	2.5764E+04	4.1092E+03
3.9224E+04	-6.0314E+02	2.5764E+04	4.1118E+03
3.8065E+04	-9.5957E+03	2.5764E+04	4.1143E+03
3.4898E+04	-1.7981E+04	2.5764E+04	4.1169E+03
2.9768E+04	-2.5295E+04	2.5764E+04	4.1195E+03
2.3041E+04	-3.1257E+04	2.5764E+04	4.1221E+03
1.5165E+04	-3.5632E+04	2.5764E+04	4.1246E+03
6.5860E+03	-3.8186E+04	2.5764E+04	4.1272E+03
-2.2482E+03	-3.8684E+04	2.5764E+04	4.1298E+03
-1.0901E+04	-3.6982E+04	2.5764E+04	4.1323E+03
-1.8971E+04	-3.3299E+04	2.5764E+04	4.1349E+03
-2.6070E+04	-2.7945E+04	2.5764E+04	4.1375E+03
-3.1806E+04	-2.1228E+04	2.5764E+04	4.1400E+03
-3.5790E+04	-1.3458E+04	2.5764E+04	4.1426E+03
-3.7716E+04	-4.9728E+03	2.5764E+04	4.1452E+03
-3.7623E+04	3.7800E+03	2.5764E+04	4.1477E+03
-3.5633E+04	1.2324E+04	2.5764E+04	4.1503E+03
-3.1870E+04	2.0185E+04	2.5764E+04	4.1529E+03
-2.6457E+04	2.6885E+04	2.5764E+04	4.1554E+03
-1.9576E+04	3.2016E+04	2.5764E+04	4.1580E+03
-1.1647E+04	3.5432E+04	2.5764E+04	4.1606E+03
-3.1482E+03	3.7054E+04	2.5764E+04	4.1631E+03
5.4430E+03	3.6805E+04	2.5764E+04	4.1657E+03
1.3648E+04	3.4604E+04	2.5764E+04	4.1683E+03
2.1024E+04	3.0453E+04	2.5764E+04	4.1709E+03
2.7274E+04	2.4672E+04	2.5764E+04	4.1734E+03
3.2135E+04	1.7659E+04	2.5764E+04	4.1760E+03
3.5345E+04	9.8162E+03	2.5764E+04	4.1786E+03
3.6642E+04	1.5417E+03	2.5764E+04	4.1811E+03
3.5850E+04	-6.7652E+03	2.5764E+04	4.1837E+03
3.3138E+04	-1.4708E+04	2.5764E+04	4.1863E+03
2.8762E+04	-2.1891E+04	2.5764E+04	4.1889E+03
2.2977E+04	-2.7918E+04	2.5764E+04	4.1914E+03
1.6040E+04	-3.2393E+04	2.5764E+04	4.1940E+03
8.2394E+03	-3.4999E+04	2.5764E+04	4.1966E+03
4.1237E-01	-3.5729E+04	2.5764E+04	4.1991E+03
-8.2184E+03	-3.4657E+04	2.5764E+04	4.2017E+03
-1.5958E+04	-3.1855E+04	2.5764E+04	4.2043E+03
