jMRUI Data Textfile

Filename: dss_Shift4_7.txt

PointsInDataset: 32768     
DatasetsInFile: 1         
SamplingInterval: 3.3333E-2 
ZeroOrderPhase: 0E0       
BeginTime: 0E0       
TransmitterFrequency: 2.9722E8  
MagneticField: 0E0       
TypeOfNucleus: 0E0       
NameOfPatient: 
DateOfExperiment: 
Spectrometer: 
AdditionalInfo: 


Signal and FFT
sig(real)	sig(imag)	fft(real)	fft(imag)
Signal 1 out of 1 in file
1E0	-4.3711E-8	-1.1589E-5	6.4802E-13
9.9973E-1	-4.37E-8	-1.2251E-5	4.6793E-5
9.9947E-1	-4.3688E-8	-1.3258E-5	9.474E-5
9.992E-1	-4.3676E-8	-1.3603E-5	1.432E-4
9.9893E-1	-4.3665E-8	-1.3339E-5	1.9146E-4
9.9867E-1	-4.3653E-8	-1.299E-5	2.3908E-4
9.984E-1	-4.3642E-8	-1.3367E-5	2.8648E-4
9.9814E-1	-4.363E-8	-1.3947E-5	3.3444E-4
9.9787E-1	-4.3618E-8	-1.4379E-5	3.8276E-4
9.976E-1	-4.3607E-8	-1.4367E-5	4.3115E-4
9.9734E-1	-4.3595E-8	-1.4294E-5	4.7927E-4
9.9707E-1	-4.3583E-8	-1.4269E-5	5.2746E-4
9.9681E-1	-4.3572E-8	-1.4135E-5	5.7563E-4
9.9654E-1	-4.356E-8	-1.3849E-5	6.2384E-4
9.9627E-1	-4.3549E-8	-1.3312E-5	6.7174E-4
9.9601E-1	-4.3537E-8	-1.3161E-5	7.1922E-4
9.9574E-1	-4.3525E-8	-1.3313E-5	7.6703E-4
9.9548E-1	-4.3514E-8	-1.326E-5	8.1502E-4
9.9521E-1	-4.3502E-8	-1.3161E-5	8.6278E-4
9.9495E-1	-4.349E-8	-1.3239E-5	9.1065E-4
9.9468E-1	-4.3479E-8	-1.3243E-5	9.5852E-4
9.9442E-1	-4.3467E-8	-1.3262E-5	1.0065E-3
9.9415E-1	-4.3456E-8	-1.3115E-5	1.0543E-3
9.9389E-1	-4.3444E-8	-1.3341E-5	1.102E-3
9.9362E-1	-4.3433E-8	-1.3364E-5	1.1501E-3
9.9336E-1	-4.3421E-8	-1.3473E-5	1.1979E-3
9.9309E-1	-4.3409E-8	-1.3473E-5	1.2462E-3
9.9283E-1	-4.3398E-8	-1.2961E-5	1.2941E-3
9.9256E-1	-4.3386E-8	-1.2749E-5	1.3414E-3
9.923E-1	-4.3375E-8	-1.3306E-5	1.3888E-3
9.9203E-1	-4.3363E-8	-1.3952E-5	1.4371E-3
9.9177E-1	-4.3352E-8	-1.3743E-5	1.4854E-3
9.915E-1	-4.334E-8	-1.3733E-5	1.5333E-3
9.9124E-1	-4.3328E-8	-1.3655E-5	1.5813E-3
9.9097E-1	-4.3317E-8	-1.3502E-5	1.6291E-3
9.9071E-1	-4.3305E-8	-1.3529E-5	1.6768E-3
9.9045E-1	-4.3294E-8	-1.3727E-5	1.7245E-3
9.9018E-1	-4.3282E-8	-1.4175E-5	1.7722E-3
9.8992E-1	-4.3271E-8	-1.4773E-5	1.8204E-3
9.8965E-1	-4.3259E-8	-1.4867E-5	1.8689E-3
9.8939E-1	-4.3248E-8	-1.4901E-5	1.9171E-3
9.8913E-1	-4.3236E-8	-1.4812E-5	1.9655E-3
9.8886E-1	-4.3225E-8	-1.4457E-5	2.0137E-3
9.886E-1	-4.3213E-8	-1.4224E-5	2.0616E-3
9.8834E-1	-4.3202E-8	-1.4029E-5	2.1096E-3
9.8807E-1	-4.319E-8	-1.3962E-5	2.1574E-3
9.8781E-1	-4.3178E-8	-1.3867E-5	2.2055E-3
9.8755E-1	-4.3167E-8	-1.3691E-5	2.2534E-3
9.8728E-1	-4.3155E-8	-1.339E-5	2.3014E-3
9.8702E-1	-4.3144E-8	-1.3197E-5	2.3491E-3
9.8676E-1	-4.3132E-8	-1.3119E-5	2.3967E-3
9.8649E-1	-4.3121E-8	-1.3334E-5	2.4443E-3
9.8623E-1	-4.3109E-8	-1.3615E-5	2.4924E-3
9.8597E-1	-4.3098E-8	-1.3448E-5	2.5405E-3
9.857E-1	-4.3086E-8	-1.3314E-5	2.5882E-3
9.8544E-1	-4.3075E-8	-1.3618E-5	2.636E-3
9.8518E-1	-4.3063E-8	-1.3665E-5	2.6842E-3
9.8492E-1	-4.3052E-8	-1.3477E-5	2.7321E-3
9.8465E-1	-4.3041E-8	-1.3657E-5	2.7798E-3
9.8439E-1	-4.3029E-8	-1.3914E-5	2.8282E-3
9.8413E-1	-4.3018E-8	-1.3318E-5	2.8766E-3
9.8387E-1	-4.3006E-8	-1.2657E-5	2.9241E-3
9.836E-1	-4.2995E-8	-1.2531E-5	2.9714E-3
9.8334E-1	-4.2983E-8	-1.269E-5	3.0188E-3
9.8308E-1	-4.2972E-8	-1.3064E-5	3.0663E-3
9.8282E-1	-4.296E-8	-1.3715E-5	3.114E-3
9.8255E-1	-4.2949E-8	-1.4284E-5	3.1621E-3
9.8229E-1	-4.2937E-8	-1.4714E-5	3.2102E-3
9.8203E-1	-4.2926E-8	-1.5167E-5	3.2587E-3
9.8177E-1	-4.2914E-8	-1.5123E-5	3.3072E-3
9.8151E-1	-4.2903E-8	-1.4983E-5	3.3555E-3
9.8124E-1	-4.2892E-8	-1.4888E-5	3.4038E-3
9.8098E-1	-4.288E-8	-1.4535E-5	3.4523E-3
9.8072E-1	-4.2869E-8	-1.3795E-5	3.5003E-3
9.8046E-1	-4.2857E-8	-1.3445E-5	3.5479E-3
9.802E-1	-4.2846E-8	-1.3437E-5	3.5957E-3
9.7994E-1	-4.2834E-8	-1.3136E-5	3.6437E-3
9.7968E-1	-4.2823E-8	-1.2746E-5	3.6912E-3
9.7942E-1	-4.2812E-8	-1.2901E-5	3.7387E-3
9.7915E-1	-4.28E-8	-1.3024E-5	3.7865E-3
9.7889E-1	-4.2789E-8	-1.305E-5	3.8343E-3
9.7863E-1	-4.2777E-8	-1.3126E-5	3.882E-3
9.7837E-1	-4.2766E-8	-1.3496E-5	3.93E-3
9.7811E-1	-4.2755E-8	-1.3323E-5	3.978E-3
9.7785E-1	-4.2743E-8	-1.3159E-5	4.0256E-3
9.7759E-1	-4.2732E-8	-1.3695E-5	4.073E-3
9.7733E-1	-4.272E-8	-1.4499E-5	4.1212E-3
9.7707E-1	-4.2709E-8	-1.4771E-5	4.1698E-3
9.7681E-1	-4.2698E-8	-1.4618E-5	4.2183E-3
9.7655E-1	-4.2686E-8	-1.4145E-5	4.2665E-3
9.7629E-1	-4.2675E-8	-1.3689E-5	4.3144E-3
9.7603E-1	-4.2663E-8	-1.3446E-5	4.3618E-3
9.7577E-1	-4.2652E-8	-1.3761E-5	4.4093E-3
9.7551E-1	-4.2641E-8	-1.4356E-5	4.4573E-3
9.7525E-1	-4.2629E-8	-1.4649E-5	4.5058E-3
9.7499E-1	-4.2618E-8	-1.4352E-5	4.5544E-3
9.7473E-1	-4.2607E-8	-1.3833E-5	4.6022E-3
9.7447E-1	-4.2595E-8	-1.3796E-5	4.65E-3
9.7421E-1	-4.2584E-8	-1.3767E-5	4.698E-3
9.7395E-1	-4.2573E-8	-1.368E-5	4.7461E-3
9.7369E-1	-4.2561E-8	-1.3325E-5	4.7939E-3
9.7343E-1	-4.255E-8	-1.3414E-5	4.8416E-3
9.7317E-1	-4.2538E-8	-1.3459E-5	4.8897E-3
9.7291E-1	-4.2527E-8	-1.3247E-5	4.9377E-3
9.7265E-1	-4.2516E-8	-1.2948E-5	4.9855E-3
9.7239E-1	-4.2504E-8	-1.29E-5	5.0331E-3
9.7213E-1	-4.2493E-8	-1.3057E-5	5.0808E-3
9.7187E-1	-4.2482E-8	-1.331E-5	5.1286E-3
9.7161E-1	-4.247E-8	-1.3484E-5	5.1769E-3
9.7135E-1	-4.2459E-8	-1.3219E-5	5.2248E-3
9.7109E-1	-4.2448E-8	-1.3215E-5	5.2726E-3
9.7083E-1	-4.2437E-8	-1.3163E-5	5.3203E-3
9.7058E-1	-4.2425E-8	-1.3703E-5	5.368E-3
9.7032E-1	-4.2414E-8	-1.423E-5	5.4166E-3
9.7006E-1	-4.2403E-8	-1.3863E-5	5.4652E-3
9.698E-1	-4.2391E-8	-1.3341E-5	5.5133E-3
9.6954E-1	-4.238E-8	-1.2786E-5	5.5612E-3
9.6928E-1	-4.2369E-8	-1.2328E-5	5.6087E-3
9.6902E-1	-4.2357E-8	-1.2267E-5	5.6561E-3
9.6877E-1	-4.2346E-8	-1.2627E-5	5.7037E-3
9.6851E-1	-4.2335E-8	-1.2856E-5	5.7518E-3
9.6825E-1	-4.2323E-8	-1.2545E-5	5.7997E-3
9.6799E-1	-4.2312E-8	-1.2577E-5	5.8471E-3
9.6773E-1	-4.2301E-8	-1.3177E-5	5.895E-3
9.6747E-1	-4.229E-8	-1.3125E-5	5.9436E-3
9.6722E-1	-4.2278E-8	-1.2274E-5	5.9914E-3
