jMRUI Data Textfile

Filename: glu.txt

PointsInDataset: 32768     
DatasetsInFile: 1         
SamplingInterval: 3.3333E-2 
ZeroOrderPhase: 0E0       
BeginTime: 0E0       
TransmitterFrequency: 2.9722E8  
MagneticField: 0E0       
TypeOfNucleus: 0E0       
NameOfPatient: 
DateOfExperiment: 
Spectrometer: 
AdditionalInfo: 


Signal and FFT
sig(real)	sig(imag)	fft(real)	fft(imag)
Signal 1 out of 1 in file
5E0	-2.1856E-7	3.7026E-4	1.7016E-1
4.9489E0	-6.7639E-1	3.699E-4	1.704E-1
4.7994E0	-1.3373E0	3.7013E-4	1.7064E-1
4.5552E0	-1.968E0	3.7046E-4	1.7088E-1
4.2219E0	-2.5546E0	3.711E-4	1.7112E-1
3.8076E0	-3.084E0	3.72E-4	1.7136E-1
3.3219E0	-3.5448E0	3.7229E-4	1.716E-1
2.7763E0	-3.9271E0	3.719E-4	1.7184E-1
2.1836E0	-4.2228E0	3.7105E-4	1.7208E-1
1.5576E0	-4.4262E0	3.7006E-4	1.7232E-1
9.1281E-1	-4.5335E0	3.6988E-4	1.7257E-1
2.6428E-1	-4.5433E0	3.7007E-4	1.7281E-1
-3.7311E-1	-4.4567E0	3.7047E-4	1.7305E-1
-9.8477E-1	-4.2767E0	3.7149E-4	1.7329E-1
-1.5569E0	-4.0089E0	3.7203E-4	1.7353E-1
-2.0765E0	-3.6609E0	3.7188E-4	1.7377E-1
-2.5324E0	-3.2419E0	3.7138E-4	1.7401E-1
-2.9145E0	-2.7631E0	3.709E-4	1.7425E-1
-3.2149E0	-2.2368E0	3.7083E-4	1.7449E-1
-3.4277E0	-1.6764E0	3.7039E-4	1.7473E-1
-3.5492E0	-1.0962E0	3.698E-4	1.7497E-1
-3.5778E0	-5.1061E-1	3.6961E-4	1.7522E-1
-3.5143E0	6.5759E-2	3.6969E-4	1.7546E-1
-3.3618E0	6.1872E-1	3.6985E-4	1.757E-1
-3.1254E0	1.1348E0	3.7004E-4	1.7594E-1
-2.8125E0	1.6014E0	3.702E-4	1.7618E-1
-2.432E0	2.0075E0	3.7028E-4	1.7642E-1
-1.9947E0	2.3435E0	3.7005E-4	1.7666E-1
-1.5126E0	2.6016E0	3.6989E-4	1.769E-1
-9.9862E-1	2.776E0	3.6953E-4	1.7714E-1
-4.6664E-1	2.8631E0	3.6899E-4	1.7738E-1
6.9299E-2	2.8615E0	3.6862E-4	1.7763E-1
5.9507E-1	2.772E0	3.6867E-4	1.7787E-1
1.0969E0	2.5975E0	3.6897E-4	1.7811E-1
1.5617E0	2.3432E0	3.6896E-4	1.7835E-1
1.9775E0	2.0163E0	3.689E-4	1.7859E-1
2.3332E0	1.6254E0	3.6904E-4	1.7883E-1
2.6199E0	1.1812E0	3.693E-4	1.7907E-1
2.8299E0	6.9529E-1	3.6935E-4	1.7931E-1
2.9577E0	1.8042E-1	3.6859E-4	1.7955E-1
2.9998E0	-3.4998E-1	3.682E-4	1.798E-1
2.9551E0	-8.8219E-1	3.6875E-4	1.8004E-1
2.8243E0	-1.4024E0	3.6918E-4	1.8028E-1
2.6104E0	-1.8973E0	3.694E-4	1.8052E-1
2.3186E0	-2.3541E0	3.6913E-4	1.8076E-1
1.9556E0	-2.7609E0	3.6892E-4	1.81E-1
1.5304E0	-3.1074E0	3.6931E-4	1.8124E-1
1.0531E0	-3.3844E0	3.6995E-4	1.8149E-1
5.352E-1	-3.5847E0	3.7048E-4	1.8173E-1
-1.0895E-2	-3.7029E0	3.71E-4	1.8197E-1
-5.7205E-1	-3.7357E0	3.7123E-4	1.8221E-1
-1.1348E0	-3.6817E0	3.7122E-4	1.8245E-1
-1.6858E0	-3.5418E0	3.7102E-4	1.8269E-1
-2.2119E0	-3.3189E0	3.7075E-4	1.8293E-1
-2.7006E0	-3.0177E0	3.7066E-4	1.8317E-1
-3.1404E0	-2.6452E0	3.7107E-4	1.8341E-1
-3.521E0	-2.2096E0	3.7172E-4	1.8365E-1
-3.8335E0	-1.7209E0	3.7204E-4	1.839E-1
-4.0708E0	-1.1901E0	3.7221E-4	1.8414E-1
-4.2274E0	-6.2932E-1	3.724E-4	1.8438E-1
