jMRUI Data Textfile

Filename: lip_c.txt

PointsInDataset: 32768     
DatasetsInFile: 1         
SamplingInterval: 3.333E-2  
ZeroOrderPhase: 0E0       
BeginTime: 0E0       
TransmitterFrequency: 2.9722E8  
MagneticField: 0E0       
TypeOfNucleus: 1E0       
NameOfPatient: 
DateOfExperiment: 
Spectrometer: 
AdditionalInfo: 


Signal and FFT
sig(real)	sig(imag)	fft(real)	fft(imag)
Signal 1 out of 1 in file
4.1E-1	0E0	1.0823E-7	1.0117E-2
4.0799E-1	-4.0366E-2	1.3356E-7	1.0137E-2
4.0196E-1	-8.0325E-2	1.5135E-7	1.0156E-2
3.92E-1	-1.1948E-1	1.6081E-7	1.0176E-2
3.7818E-1	-1.5743E-1	1.6357E-7	1.0196E-2
3.6067E-1	-1.9381E-1	1.6221E-7	1.0215E-2
3.3964E-1	-2.2824E-1	1.5822E-7	1.0235E-2
3.1529E-1	-2.6038E-1	1.5062E-7	1.0255E-2
2.8789E-1	-2.8992E-1	1.36E-7	1.0274E-2
2.5772E-1	-3.1656E-1	1.1037E-7	1.0294E-2
2.2507E-1	-3.4004E-1	7.1946E-8	1.0314E-2
1.9029E-1	-3.6013E-1	2.3512E-8	1.0333E-2
1.5373E-1	-3.7664E-1	-2.7329E-8	1.0353E-2
1.1576E-1	-3.8941E-1	-7.0258E-8	1.0373E-2
7.6759E-2	-3.9832E-1	-9.5803E-8	1.0393E-2
3.713E-2	-4.033E-1	-9.8562E-8	1.0412E-2
-2.7306E-3	-4.0432E-1	-7.8593E-8	1.0432E-2
-4.2422E-2	-4.0136E-1	-4.0701E-8	1.0452E-2
-8.1547E-2	-3.9449E-1	7.65E-9	1.0472E-2
-1.1972E-1	-3.8377E-1	5.8638E-8	1.0491E-2
-1.5655E-1	-3.6935E-1	1.0585E-7	1.0511E-2
-1.9169E-1	-3.5137E-1	1.4521E-7	1.0531E-2
-2.2478E-1	-3.3003E-1	1.7502E-7	1.055E-2
-2.5551E-1	-3.0558E-1	1.9526E-7	1.057E-2
-2.8359E-1	-2.7825E-1	2.0633E-7	1.059E-2
-3.0874E-1	-2.4836E-1	2.0796E-7	1.0609E-2
-3.3072E-1	-2.162E-1	1.9901E-7	1.0629E-2
-3.4935E-1	-1.8211E-1	1.7855E-7	1.0649E-2
-3.6445E-1	-1.4646E-1	1.4764E-7	1.0668E-2
-3.7589E-1	-1.096E-1	1.1087E-7	1.0688E-2
-3.8358E-1	-7.1905E-2	7.6182E-8	1.0708E-2
-3.8748E-1	-3.3767E-2	5.2676E-8	1.0728E-2
-3.8756E-1	4.4334E-3	4.7081E-8	1.0747E-2
-3.8387E-1	4.2313E-2	6.0639E-8	1.0767E-2
-3.7645E-1	7.9496E-2	8.8108E-8	1.0787E-2
-3.6543E-1	1.1562E-1	1.1962E-7	1.0807E-2
-3.5092E-1	1.5032E-1	1.4455E-7	1.0826E-2
-3.3312E-1	1.8328E-1	1.5551E-7	1.0846E-2
-3.1222E-1	2.1417E-1	1.5054E-7	1.0866E-2
-2.8847E-1	2.4271E-1	1.3286E-7	1.0885E-2
-2.6211E-1	2.6862E-1	1.086E-7	1.0905E-2
-2.3345E-1	2.9169E-1	8.4086E-8	1.0925E-2
-2.0279E-1	3.117E-1	6.3542E-8	1.0944E-2
-1.7046E-1	3.2849E-1	4.8074E-8	1.0964E-2
-1.3679E-1	3.4192E-1	3.5883E-8	1.0984E-2
-1.0213E-1	3.5189E-1	2.3575E-8	1.1004E-2
-6.6847E-2	3.5834E-1	8.0913E-9	1.1023E-2
