jMRUI Data Textfile

Filename: lip_c_correct.txt

PointsInDataset: 32768     
DatasetsInFile: 1         
SamplingInterval: 3.3333E-2 
ZeroOrderPhase: 0E0       
BeginTime: 0E0       
TransmitterFrequency: 2.9722E8  
MagneticField: 0E0       
TypeOfNucleus: 0E0       
NameOfPatient: 
DateOfExperiment: 
Spectrometer: 
AdditionalInfo: 


Signal and FFT
sig(real)	sig(imag)	fft(real)	fft(imag)
Signal 1 out of 1 in file
4.1E-1	0E0	1.0371E-7	1.5289E-2
4.054E-1	-6.0801E-2	5.4354E-8	1.5308E-2
3.9169E-1	-1.202E-1	1.5964E-8	1.5328E-2
3.6922E-1	-1.7682E-1	-5.8192E-9	1.5348E-2
3.3849E-1	-2.2937E-1	-7.33E-9	1.5368E-2
3.0025E-1	-2.7663E-1	1.1413E-8	1.5388E-2
2.554E-1	-3.1753E-1	4.5853E-8	1.5407E-2
2.0498E-1	-3.5115E-1	8.7449E-8	1.5427E-2
1.5018E-1	-3.7672E-1	1.2566E-7	1.5447E-2
9.2293E-2	-3.9371E-1	1.5084E-7	1.5467E-2
3.2664E-2	-4.0175E-1	1.57E-7	1.5486E-2
-2.7318E-2	-4.007E-1	1.4347E-7	1.5506E-2
-8.6262E-2	-3.9064E-1	1.1476E-7	1.5526E-2
-1.4281E-1	-3.7187E-1	7.8775E-8	1.5545E-2
-1.9567E-1	-3.4486E-1	4.4185E-8	1.5565E-2
-2.4364E-1	-3.1032E-1	1.7922E-8	1.5585E-2
-2.8564E-1	-2.6911E-1	3.5984E-9	1.5605E-2
-3.2076E-1	-2.2223E-1	1.1406E-9	1.5625E-2
-3.4823E-1	-1.7084E-1	7.454E-9	1.5644E-2
-3.6749E-1	-1.1616E-1	1.7631E-8	1.5664E-2
-3.7816E-1	-5.952E-2	2.623E-8	1.5684E-2
-3.8011E-1	-2.2508E-3	2.8354E-8	1.5704E-2
-3.7337E-1	5.4296E-2	2.0475E-8	1.5723E-2
-3.582E-1	1.088E-1	1.0489E-9	1.5743E-2
-3.3506E-1	1.6002E-1	-2.9148E-8	1.5763E-2
-3.0461E-1	2.0677E-1	-6.7107E-8	1.5783E-2
-2.6764E-1	2.4802E-1	-1.0816E-7	1.5803E-2
-2.2514E-1	2.8288E-1	-1.4694E-7	1.5822E-2
-1.7817E-1	3.1059E-1	-1.7834E-7	1.5842E-2
-1.2793E-1	3.3062E-1	-1.9824E-7	1.5862E-2
-7.5661E-2	3.426E-1	-2.0384E-7	1.5882E-2
-2.2638E-2	3.4637E-1	-1.937E-7	1.5902E-2
2.9857E-2	3.4198E-1	-1.6781E-7	1.5921E-2
