jMRUI Data Textfile

Filename: mm3_corrected_4.7shift.txt

PointsInDataset: 32768     
DatasetsInFile: 1         
SamplingInterval: 3.3333E-2 
ZeroOrderPhase: 0E0       
BeginTime: 0E0       
TransmitterFrequency: 2.9722E8  
MagneticField: 0E0       
TypeOfNucleus: 0E0       
NameOfPatient: 
DateOfExperiment: 
Spectrometer: 
AdditionalInfo: 


Signal and FFT
sig(real)	sig(imag)	fft(real)	fft(imag)
Signal 1 out of 1 in file
7.6E-1	0E0	4.9245E-7	3.0819E-2
7.5007E-1	-1.2247E-1	5.4287E-7	3.0856E-2
7.2053E-1	-2.4174E-1	5.9321E-7	3.0892E-2
6.7215E-1	-3.5468E-1	6.4136E-7	3.0929E-2
6.0621E-1	-4.5836E-1	6.8497E-7	3.0965E-2
5.2442E-1	-5.5005E-1	7.2165E-7	3.1002E-2
4.2893E-1	-6.2736E-1	7.4916E-7	3.1039E-2
3.2222E-1	-6.8828E-1	7.6566E-7	3.1075E-2
2.071E-1	-7.312E-1	7.6986E-7	3.1112E-2
8.6564E-2	-7.55E-1	7.6123E-7	3.1149E-2
-3.623E-2	-7.5907E-1	7.4E-7	3.1185E-2
-1.5807E-1	-7.433E-1	7.0726E-7	3.1222E-2
-2.7578E-1	-7.081E-1	6.6487E-7	3.1258E-2
-3.8627E-1	-6.5439E-1	6.1536E-7	3.1295E-2
-4.8667E-1	-5.8358E-1	5.6171E-7	3.1332E-2
-5.7433E-1	-4.9752E-1	5.0717E-7	3.1368E-2
-6.4698E-1	-3.9846E-1	4.5499E-7	3.1405E-2
-7.0271E-1	-2.8899E-1	4.0811E-7	3.1442E-2
-7.4008E-1	-1.7197E-1	3.6895E-7	3.1478E-2
-7.5809E-1	-5.0458E-2	3.392E-7	3.1515E-2
-7.5629E-1	7.236E-2	3.1961E-7	3.1552E-2
-7.3472E-1	1.9328E-1	3.1001E-7	3.1588E-2
-6.9395E-1	3.0914E-1	3.0924E-7	3.1625E-2
-6.3504E-1	4.1691E-1	3.1533E-7	3.1662E-2
-5.5954E-1	5.1377E-1	3.2563E-7	3.1699E-2
-4.6941E-1	5.972E-1	3.3711E-7	3.1735E-2
-3.6703E-1	6.6501E-1	3.4661E-7	3.1772E-2
-2.5506E-1	7.1543E-1	3.5117E-7	3.1809E-2
-1.3643E-1	7.4714E-1	3.4828E-7	3.1845E-2
-1.4253E-2	7.5933E-1	3.361E-7	3.1882E-2
1.0829E-1	7.5167E-1	3.1363E-7	3.1918E-2
2.2799E-1	7.2435E-1	2.8075E-7	3.1955E-2
3.4172E-1	6.7811E-1	2.3819E-7	3.1992E-2
4.465E-1	6.1415E-1	1.8743E-7	3.2028E-2
5.396E-1	5.3415E-1	1.3053E-7	3.2065E-2
6.1859E-1	4.4019E-1	6.9929E-8	3.2102E-2
6.8139E-1	3.3473E-1	8.2142E-9	3.2139E-2
7.2638E-1	2.2054E-1	-5.2072E-8	3.2175E-2
7.5238E-1	1.006E-1	-1.086E-7	3.2212E-2
7.5871E-1	-2.1953E-2	-1.5935E-7	3.2249E-2
7.4521E-1	-1.4392E-1	-2.027E-7	3.2285E-2
7.1223E-1	-2.621E-1	-2.3744E-7	3.2322E-2
6.6064E-1	-3.7342E-1	-2.6272E-7	3.2359E-2
5.9179E-1	-4.7497E-1	-2.7804E-7	3.2396E-2
5.0748E-1	-5.6408E-1	-2.8316E-7	3.2432E-2
4.0992E-1	-6.3844E-1	-2.7808E-7	3.2469E-2
3.0166E-1	-6.961E-1	-2.6296E-7	3.2506E-2
1.8553E-1	-7.3555E-1	-2.3815E-7	3.2543E-2
6.4571E-2	-7.5578E-1	-2.0417E-7	3.258E-2
-5.8057E-2	-7.5624E-1	-1.6175E-7	3.2616E-2
-1.7915E-1	-7.3694E-1	-1.1186E-7	3.2653E-2
-2.9553E-1	-6.9838E-1	-5.5758E-8	3.269E-2
-4.0418E-1	-6.4158E-1	4.9923E-9	3.2726E-2
-5.0224E-1	-5.6801E-1	6.8517E-8	3.2763E-2
-5.8715E-1	-4.7961E-1	1.3268E-7	3.28E-2
-6.567E-1	-3.787E-1	1.9513E-7	3.2837E-2
-7.0908E-1	-2.679E-1	2.535E-7	3.2873E-2
-7.4291E-1	-1.5012E-1	3.0546E-7	3.291E-2
-7.5732E-1	-2.844E-2	3.4899E-7	3.2947E-2
-7.5193E-1	9.396E-2	3.8251E-7	3.2983E-2
-7.2689E-1	2.1388E-1	4.05E-7	3.302E-2
-6.8286E-1	3.2818E-1	4.1615E-7	3.3057E-2
-6.2098E-1	4.3389E-1	4.1636E-7	3.3093E-2
-5.4289E-1	5.2823E-1	4.0666E-7	3.313E-2
-4.5063E-1	6.0875E-1	3.8862E-7	3.3166E-2
-3.4661E-1	6.7333E-1	3.6415E-7	3.3203E-2
-2.3355E-1	7.2031E-1	3.3528E-7	3.324E-2
-1.1441E-1	7.4844E-1	3.0391E-7	3.3277E-2
7.69E-3	7.5701E-1	2.717E-7	3.3313E-2
1.2956E-1	7.458E-1	2.3991E-7	3.335E-2
2.4802E-1	7.1509E-1	2.0934E-7	3.3387E-2
3.5997E-1	6.657E-1	1.8047E-7	3.3423E-2
4.6248E-1	5.9892E-1	1.5351E-7	3.346E-2
5.5288E-1	5.165E-1	1.2864E-7	3.3497E-2
6.2881E-1	4.2061E-1	1.0615E-7	3.3534E-2
6.8828E-1	3.1374E-1	8.6619E-8	3.357E-2
7.2975E-1	1.987E-1	7.099E-8	3.3607E-2
7.5214E-1	7.8503E-2	6.0554E-8	3.3644E-2
7.5486E-1	-4.3719E-2	5.6838E-8	3.368E-2
7.3785E-1	-1.6477E-1	6.1392E-8	3.3717E-2
7.0156E-1	-2.8148E-1	7.5515E-8	3.3754E-2
6.4695E-1	-3.908E-1	9.9951E-8	3.3791E-2
5.7544E-1	-4.8987E-1	1.3461E-7	3.3827E-2
4.8891E-1	-5.7612E-1	1.7838E-7	3.3864E-2
3.8963E-1	-6.4729E-1	2.2898E-7	3.3901E-2
2.8019E-1	-7.0151E-1	2.8309E-7	3.3938E-2
1.6346E-1	-7.3739E-1	3.3645E-7	3.3974E-2
4.2497E-2	-7.5399E-1	3.8426E-7	3.4011E-2
-7.9546E-2	-7.5087E-1	4.2156E-7	3.4048E-2
-1.9947E-1	-7.2813E-1	4.4378E-7	3.4084E-2
-3.1415E-1	-6.8637E-1	4.4717E-7	3.4121E-2
-4.2059E-1	-6.2668E-1	4.2923E-7	3.4158E-2
-5.16E-1	-5.5063E-1	3.8905E-7	3.4194E-2
-5.9789E-1	-4.6021E-1	3.2746E-7	3.4231E-2
-6.6413E-1	-3.5779E-1	2.4693E-7	3.4267E-2
-7.1299E-1	-2.4606E-1	1.5144E-7	3.4304E-2
-7.4321E-1	-1.2793E-1	4.6049E-8	3.4341E-2
-7.5399E-1	-6.4919E-3	-6.3565E-8	3.4378E-2
-7.4506E-1	1.1507E-1	-1.7163E-7	3.4414E-2
-7.1666E-1	2.3359E-1	-2.7281E-7	3.4451E-2
-6.6954E-1	3.4597E-1	-3.6267E-7	3.4488E-2
-6.0494E-1	4.4926E-1	-4.3797E-7	3.4525E-2
-5.2454E-1	5.4078E-1	-4.9692E-7	3.4561E-2
-4.3047E-1	6.1813E-1	-5.3921E-7	3.4598E-2
-3.2518E-1	6.793E-1	-5.659E-7	3.4635E-2
-2.1143E-1	7.227E-1	-5.7922E-7	3.4672E-2
-9.2193E-2	7.4719E-1	-5.8229E-7	3.4709E-2
2.9412E-2	7.5215E-1	-5.7875E-7	3.4745E-2
1.502E-1	7.3745E-1	-5.7243E-7	3.4782E-2
2.6703E-1	7.0348E-1	-5.6693E-7	3.4819E-2
3.7683E-1	6.5113E-1	-5.6539E-7	3.4856E-2
4.7674E-1	5.8179E-1	-5.7014E-7	3.4892E-2
5.6416E-1	4.9727E-1	-5.826E-7	3.4929E-2
6.3679E-1	3.9979E-1	-6.0312E-7	3.4966E-2
6.9276E-1	2.9189E-1	-6.3105E-7	3.5003E-2
7.3061E-1	1.7641E-1	-6.6478E-7	3.5039E-2
