jMRUI Data Textfile

Filename: NAA.txt

PointsInDataset: 32768     
DatasetsInFile: 1         
SamplingInterval: 3.3333E-2 
ZeroOrderPhase: 0E0       
BeginTime: 0E0       
TransmitterFrequency: 2.9722E8  
MagneticField: 0E0       
TypeOfNucleus: 0E0       
NameOfPatient: 
DateOfExperiment: 
Spectrometer: 
AdditionalInfo: 


Signal and FFT
sig(real)	sig(imag)	fft(real)	fft(imag)
Signal 1 out of 1 in file
5.2434E+04	-1.8280E+01	2.6216E+04	5.1205E+02
5.2391E+04	-2.1015E+03	2.6216E+04	5.1456E+02
5.2254E+04	-4.1796E+03	2.6216E+04	5.1708E+02
5.2025E+04	-6.2485E+03	2.6216E+04	5.1959E+02
5.1706E+04	-8.3043E+03	2.6216E+04	5.2210E+02
5.1298E+04	-1.0343E+04	2.6216E+04	5.2462E+02
5.0802E+04	-1.2361E+04	2.6216E+04	5.2713E+02
5.0219E+04	-1.4353E+04	2.6216E+04	5.2965E+02
4.9551E+04	-1.6316E+04	2.6216E+04	5.3216E+02
4.8799E+04	-1.8247E+04	2.6216E+04	5.3468E+02
4.7964E+04	-2.0140E+04	2.6216E+04	5.3719E+02
4.7048E+04	-2.1992E+04	2.6216E+04	5.3970E+02
4.6054E+04	-2.3800E+04	2.6216E+04	5.4222E+02
4.4983E+04	-2.5560E+04	2.6216E+04	5.4473E+02
4.3839E+04	-2.7268E+04	2.6216E+04	5.4725E+02
4.2624E+04	-2.8921E+04	2.6216E+04	5.4976E+02
4.1340E+04	-3.0516E+04	2.6216E+04	5.5228E+02
3.9992E+04	-3.2050E+04	2.6216E+04	5.5479E+02
3.8581E+04	-3.3519E+04	2.6216E+04	5.5731E+02
3.7111E+04	-3.4923E+04	2.6216E+04	5.5982E+02
3.5585E+04	-3.6257E+04	2.6216E+04	5.6233E+02
3.4007E+04	-3.7519E+04	2.6216E+04	5.6485E+02
3.2380E+04	-3.8708E+04	2.6216E+04	5.6736E+02
3.0708E+04	-3.9821E+04	2.6216E+04	5.6988E+02
2.8994E+04	-4.0857E+04	2.6216E+04	5.7239E+02
2.7243E+04	-4.1814E+04	2.6216E+04	5.7491E+02
2.5458E+04	-4.2690E+04	2.6216E+04	5.7742E+02
2.3643E+04	-4.3484E+04	2.6216E+04	5.7994E+02
2.1803E+04	-4.4196E+04	2.6216E+04	5.8245E+02
1.9940E+04	-4.4825E+04	2.6216E+04	5.8497E+02
1.8060E+04	-4.5369E+04	2.6216E+04	5.8748E+02
1.6166E+04	-4.5829E+04	2.6216E+04	5.9000E+02
1.4262E+04	-4.6203E+04	2.6216E+04	5.9251E+02
1.2353E+04	-4.6493E+04	2.6216E+04	5.9502E+02
1.0442E+04	-4.6699E+04	2.6216E+04	5.9754E+02
8.5325E+03	-4.6821E+04	2.6216E+04	6.0005E+02
6.6293E+03	-4.6859E+04	2.6216E+04	6.0257E+02
4.7360E+03	-4.6814E+04	2.6216E+04	6.0508E+02
2.8562E+03	-4.6688E+04	2.6216E+04	6.0760E+02
9.9379E+02	-4.6480E+04	2.6216E+04	6.1011E+02
-8.4753E+02	-4.6194E+04	2.6216E+04	6.1263E+02
-2.6641E+03	-4.5829E+04	2.6216E+04	6.1514E+02
-4.4525E+03	-4.5389E+04	2.6216E+04	6.1766E+02
-6.2095E+03	-4.4873E+04	2.6216E+04	6.2017E+02
-7.9319E+03	-4.4286E+04	2.6216E+04	6.2269E+02
-9.6163E+03	-4.3628E+04	2.6216E+04	6.2520E+02
-1.1260E+04	-4.2902E+04	2.6216E+04	6.2772E+02
-1.2859E+04	-4.2110E+04	2.6216E+04	6.3023E+02
-1.4413E+04	-4.1255E+04	2.6216E+04	6.3275E+02
-1.5917E+04	-4.0340E+04	2.6216E+04	6.3526E+02
-1.7370E+04	-3.9367E+04	2.6216E+04	6.3778E+02
-1.8769E+04	-3.8339E+04	2.6216E+04	6.4029E+02
-2.0112E+04	-3.7258E+04	2.6216E+04	6.4281E+02
-2.1398E+04	-3.6129E+04	2.6216E+04	6.4532E+02
-2.2624E+04	-3.4954E+04	2.6216E+04	6.4784E+02
-2.3788E+04	-3.3736E+04	2.6216E+04	6.5035E+02
-2.4889E+04	-3.2478E+04	2.6216E+04	6.5287E+02
-2.5926E+04	-3.1185E+04	2.6216E+04	6.5538E+02
-2.6898E+04	-2.9858E+04	2.6216E+04	6.5790E+02
-2.7804E+04	-2.8501E+04	2.6216E+04	6.6041E+02
-2.8643E+04	-2.7118E+04	2.6216E+04	6.6293E+02
-2.9414E+04	-2.5712E+04	2.6216E+04	6.6544E+02
-3.0117E+04	-2.4286E+04	2.6216E+04	6.6796E+02
-3.0752E+04	-2.2844E+04	2.6216E+04	6.7048E+02
-3.1319E+04	-2.1389E+04	2.6216E+04	6.7299E+02
-3.1818E+04	-1.9924E+04	2.6216E+04	6.7551E+02
-3.2248E+04	-1.8453E+04	2.6216E+04	6.7802E+02
-3.2611E+04	-1.6978E+04	2.6216E+04	6.8054E+02
-3.2907E+04	-1.5503E+04	2.6216E+04	6.8305E+02
-3.3136E+04	-1.4032E+04	2.6216E+04	6.8557E+02
-3.3299E+04	-1.2566E+04	2.6216E+04	6.8808E+02
-3.3397E+04	-1.1109E+04	2.6216E+04	6.9060E+02
-3.3432E+04	-9.6647E+03	2.6216E+04	6.9311E+02
-3.3404E+04	-8.2346E+03	2.6216E+04	6.9563E+02
-3.3315E+04	-6.8218E+03	2.6216E+04	6.9814E+02
-3.3166E+04	-5.4292E+03	2.6216E+04	7.0066E+02
-3.2959E+04	-4.0593E+03	2.6216E+04	7.0318E+02
-3.2697E+04	-2.7144E+03	2.6216E+04	7.0569E+02
-3.2379E+04	-1.3967E+03	2.6216E+04	7.0821E+02
-3.2009E+04	-1.0839E+02	2.6216E+04	7.1072E+02
-3.1589E+04	1.1483E+03	2.6216E+04	7.1324E+02
-3.1120E+04	2.3713E+03	2.6216E+04	7.1575E+02
-3.0604E+04	3.5589E+03	2.6216E+04	7.1827E+02
-3.0044E+04	4.7095E+03	2.6216E+04	7.2079E+02
-2.9442E+04	5.8216E+03	2.6216E+04	7.2330E+02
-2.8800E+04	6.8934E+03	2.6216E+04	7.2582E+02
-2.8120E+04	7.9236E+03	2.6216E+04	7.2833E+02
-2.7406E+04	8.9110E+03	2.6216E+04	7.3085E+02
-2.6658E+04	9.8549E+03	2.6216E+04	7.3336E+02
-2.5881E+04	1.0754E+04	2.6216E+04	7.3588E+02
-2.5076E+04	1.1608E+04	2.6216E+04	7.3840E+02
-2.4246E+04	1.2416E+04	2.6216E+04	7.4091E+02
-2.3393E+04	1.3176E+04	2.6216E+04	7.4343E+02
-2.2520E+04	1.3890E+04	2.6216E+04	7.4594E+02
-2.1629E+04	1.4557E+04	2.6216E+04	7.4846E+02
-2.0722E+04	1.5176E+04	2.6216E+04	7.5098E+02
-1.9802E+04	1.5747E+04	2.6216E+04	7.5349E+02
-1.8870E+04	1.6271E+04	2.6216E+04	7.5601E+02
-1.7930E+04	1.6747E+04	2.6216E+04	7.5852E+02
-1.6984E+04	1.7177E+04	2.6216E+04	7.6104E+02
-1.6034E+04	1.7559E+04	2.6216E+04	7.6356E+02
-1.5082E+04	1.7895E+04	2.6216E+04	7.6607E+02
-1.4131E+04	1.8185E+04	2.6216E+04	7.6859E+02
-1.3183E+04	1.8431E+04	2.6216E+04	7.7110E+02
-1.2239E+04	1.8632E+04	2.6216E+04	7.7362E+02
-1.1301E+04	1.8790E+04	2.6216E+04	7.7614E+02
-1.0372E+04	1.8906E+04	2.6216E+04	7.7865E+02
-9.4522E+03	1.8980E+04	2.6216E+04	7.8117E+02
-8.5445E+03	1.9015E+04	2.6216E+04	7.8368E+02
-7.6502E+03	1.9010E+04	2.6216E+04	7.8620E+02
-6.7709E+03	1.8968E+04	2.6216E+04	7.8872E+02
-5.9082E+03	1.8889E+04	2.6216E+04	7.9123E+02
-5.0635E+03	1.8775E+04	2.6216E+04	7.9375E+02
-4.2379E+03	1.8627E+04	2.6216E+04	7.9627E+02
-3.4327E+03	1.8446E+04	2.6216E+04	7.9878E+02
-2.6490E+03	1.8235E+04	2.6216E+04	8.0130E+02
-1.8881E+03	1.7994E+04	2.6216E+04	8.0381E+02
-1.1508E+03	1.7725E+04	2.6216E+04	8.0633E+02
-4.3780E+02	1.7430E+04	2.6216E+04	8.0885E+02
2.5000E+02	1.7109E+04	2.6216E+04	8.1136E+02
9.1186E+02	1.6766E+04	2.6216E+04	8.1388E+02
1.5471E+03	1.6401E+04	2.6216E+04	8.1640E+02
2.1552E+03	1.6016E+04	2.6216E+04	8.1891E+02
2.7359E+03	1.5612E+04	2.6216E+04	8.2143E+02
3.2889E+03	1.5192E+04	2.6216E+04	8.2395E+02
3.8138E+03	1.4756E+04	2.6216E+04	8.2646E+02
4.3103E+03	1.4306E+04	2.6216E+04	8.2898E+02
4.7784E+03	1.3844E+04	2.6216E+04	8.3149E+02
5.2181E+03	1.3371E+04	2.6216E+04	8.3401E+02
5.6294E+03	1.2888E+04	2.6216E+04	8.3653E+02
6.0124E+03	1.2398E+04	2.6216E+04	8.3904E+02
6.3672E+03	1.1901E+04	2.6216E+04	8.4156E+02
6.6940E+03	1.1400E+04	2.6216E+04	8.4408E+02
6.9933E+03	1.0894E+04	2.6216E+04	8.4659E+02
7.2653E+03	1.0386E+04	2.6216E+04	8.4911E+02
7.5106E+03	9.8771E+03	2.6216E+04	8.5163E+02
7.7294E+03	9.3682E+03	2.6216E+04	8.5414E+02
7.9224E+03	8.8606E+03	2.6216E+04	8.5666E+02
8.0902E+03	8.3553E+03	2.6216E+04	8.5918E+02
8.2333E+03	7.8535E+03	2.6216E+04	8.6169E+02
8.3524E+03	7.3562E+03	2.6216E+04	8.6421E+02
8.4481E+03	6.8645E+03	2.6216E+04	8.6673E+02
8.5212E+03	6.3793E+03	2.6216E+04	8.6924E+02
8.5724E+03	5.9014E+03	2.6216E+04	8.7176E+02
8.6025E+03	5.4316E+03	2.6216E+04	8.7428E+02
8.6123E+03	4.9708E+03	2.6216E+04	8.7679E+02
8.6026E+03	4.5197E+03	2.6216E+04	8.7931E+02
8.5743E+03	4.0790E+03	2.6216E+04	8.8183E+02
8.5282E+03	3.6492E+03	2.6216E+04	8.8434E+02
8.4652E+03	3.2308E+03	2.6216E+04	8.8686E+02
8.3862E+03	2.8245E+03	2.6216E+04	8.8938E+02
8.2920E+03	2.4307E+03	2.6216E+04	8.9190E+02
8.1835E+03	2.0499E+03	2.6216E+04	8.9441E+02
8.0617E+03	1.6822E+03	2.6216E+04	8.9693E+02
7.9273E+03	1.3281E+03	2.6216E+04	8.9945E+02
7.7813E+03	9.8782E+02	2.6216E+04	9.0196E+02
7.6246E+03	6.6161E+02	2.6216E+04	9.0448E+02
7.4579E+03	3.4959E+02	2.6216E+04	9.0700E+02
7.2823E+03	5.1864E+01	2.6216E+04	9.0951E+02
7.0984E+03	-2.3151E+02	2.6216E+04	9.1203E+02
6.9071E+03	-5.0045E+02	2.6216E+04	9.1455E+02
6.7093E+03	-7.5491E+02	2.6216E+04	9.1706E+02
6.5057E+03	-9.9498E+02	2.6216E+04	9.1958E+02
6.2971E+03	-1.2208E+03	2.6216E+04	9.2210E+02
6.0843E+03	-1.4324E+03	2.6216E+04	9.2462E+02
5.8679E+03	-1.6299E+03	2.6216E+04	9.2713E+02
5.6488E+03	-1.8135E+03	2.6216E+04	9.2965E+02
5.4275E+03	-1.9834E+03	2.6216E+04	9.3217E+02
5.2048E+03	-2.1399E+03	2.6216E+04	9.3468E+02
4.9812E+03	-2.2833E+03	2.6216E+04	9.3720E+02
4.7573E+03	-2.4137E+03	2.6216E+04	9.3972E+02
4.5338E+03	-2.5315E+03	2.6216E+04	9.4224E+02
4.3112E+03	-2.6370E+03	2.6216E+04	9.4475E+02
4.0900E+03	-2.7306E+03	2.6216E+04	9.4727E+02
3.8706E+03	-2.8126E+03	2.6216E+04	9.4979E+02
3.6536E+03	-2.8834E+03	2.6216E+04	9.5230E+02
3.4394E+03	-2.9434E+03	2.6216E+04	9.5482E+02
3.2285E+03	-2.9929E+03	2.6216E+04	9.5734E+02
3.0211E+03	-3.0324E+03	2.6216E+04	9.5986E+02
